Instrument:  EduRaman Pro
The Light Source Type:  532.08nm laser/Tungsten lamp
Detector:  ERAM7X-1
Laser Power(%):  100%
Grating(g/mm):  1200
Slit Width:  50μm
Objective:  10x / 0.3NA
Acq. time(ms):  1000
Accumulation:  1
Spectra_type:  0-2000cm⁻¹
TimeSeq:  5
TimeCycle(ms):  100
Temperature:  -0.5℃
pixel(2026/03/27 10:25:22)	wavelength(2026/03/27 10:25:22)	wavenumber(2026/03/27 10:25:22)	ramanshift(2026/03/27 10:25:22)	intensity(2026/03/27 10:25:22)
1	535.912	18659.77	134.39	277.000
2	535.992	18657.00	137.16	285.000
3	536.071	18654.24	139.93	312.000
4	536.151	18651.47	142.70	343.000
5	536.230	18648.70	145.47	363.000
6	536.310	18645.93	148.23	379.000
7	536.390	18643.17	151.00	365.000
8	536.469	18640.40	153.76	375.000
9	536.549	18637.64	156.53	389.000
10	536.628	18634.88	159.29	420.000
11	536.708	18632.11	162.05	414.000
12	536.787	18629.35	164.81	405.000
13	536.867	18626.59	167.58	404.000
14	536.946	18623.83	170.34	430.000
15	537.026	18621.07	173.10	441.000
16	537.106	18618.31	175.85	440.000
17	537.185	18615.55	178.61	421.000
18	537.265	18612.80	181.37	417.000
19	537.344	18610.04	184.13	437.000
20	537.424	18607.29	186.88	447.000
21	537.503	18604.53	189.64	454.000
22	537.583	18601.78	192.39	435.000
23	537.663	18599.02	195.14	425.000
24	537.742	18596.27	197.89	431.000
25	537.822	18593.52	200.65	446.000
26	537.901	18590.77	203.40	438.000
27	537.981	18588.02	206.15	442.000
28	538.061	18585.27	208.90	420.000
29	538.140	18582.52	211.65	431.000
30	538.220	18579.77	214.39	444.000
31	538.299	18577.03	217.14	469.000
32	538.379	18574.28	219.89	446.000
33	538.458	18571.53	222.63	422.000
34	538.538	18568.79	225.38	427.000
35	538.618	18566.05	228.12	421.000
36	538.697	18563.30	230.86	464.000
37	538.777	18560.56	233.61	450.000
38	538.856	18557.82	236.35	445.000
39	538.936	18555.08	239.09	437.000
40	539.016	18552.34	241.83	425.000
41	539.095	18549.60	244.57	431.000
42	539.175	18546.86	247.31	459.000
43	539.254	18544.12	250.04	449.000
44	539.334	18541.39	252.78	436.000
45	539.414	18538.65	255.52	431.000
46	539.493	18535.92	258.25	424.000
47	539.573	18533.18	260.99	424.000
48	539.652	18530.45	263.72	447.000
49	539.732	18527.71	266.45	450.000
50	539.812	18524.98	269.18	421.000
51	539.891	18522.25	271.92	419.000
52	539.971	18519.52	274.65	432.000
53	540.050	18516.79	277.38	440.000
54	540.130	18514.06	280.11	457.000
55	540.210	18511.33	282.83	430.000
56	540.289	18508.60	285.56	439.000
57	540.369	18505.88	288.29	426.000
58	540.448	18503.15	291.02	437.000
59	540.528	18500.43	293.74	450.000
60	540.608	18497.70	296.46	452.000
61	540.687	18494.98	299.19	457.000
62	540.767	18492.25	301.91	426.000
63	540.847	18489.53	304.63	429.000
64	540.926	18486.81	307.36	442.000
65	541.006	18484.09	310.08	466.000
66	541.085	18481.37	312.80	447.000
67	541.165	18478.65	315.52	441.000
