Instrument:  EduRaman Pro
The Light Source Type:  532.08nm laser/Tungsten lamp
Detector:  ERAM7X-1
Laser Power(%):  100%
Grating(g/mm):  1200
Slit Width:  50μm
Objective:  10x / 0.3NA
Acq. time(ms):  100
Accumulation:  1
Spectra_type:  0-2000cm⁻¹
TimeSeq:  5
TimeCycle(ms):  100
Temperature:  -2.1℃
pixel(2026/03/27 15:12:46)	wavelength(2026/03/27 15:12:46)	wavenumber(2026/03/27 15:12:46)	ramanshift(2026/03/27 15:12:46)	intensity(2026/03/27 15:12:46)
1	535.912	18659.77	134.39	411.000
2	535.992	18657.00	137.16	468.000
3	536.071	18654.24	139.93	561.000
4	536.151	18651.47	142.70	604.000
5	536.230	18648.70	145.47	659.000
6	536.310	18645.93	148.23	692.000
7	536.390	18643.17	151.00	731.000
8	536.469	18640.40	153.76	757.000
9	536.549	18637.64	156.53	792.000
10	536.628	18634.88	159.29	820.000
11	536.708	18632.11	162.05	839.000
12	536.787	18629.35	164.81	836.000
13	536.867	18626.59	167.58	837.000
14	536.946	18623.83	170.34	837.000
15	537.026	18621.07	173.10	881.000
16	537.106	18618.31	175.85	907.000
17	537.185	18615.55	178.61	905.000
18	537.265	18612.80	181.37	918.000
19	537.344	18610.04	184.13	947.000
20	537.424	18607.29	186.88	995.000
21	537.503	18604.53	189.64	1069.000
22	537.583	18601.78	192.39	1114.000
23	537.663	18599.02	195.14	1154.000
24	537.742	18596.27	197.89	1219.000
25	537.822	18593.52	200.65	1263.000
26	537.901	18590.77	203.40	1361.000
27	537.981	18588.02	206.15	1413.000
28	538.061	18585.27	208.90	1491.000
29	538.140	18582.52	211.65	1579.000
30	538.220	18579.77	214.39	1717.000
31	538.299	18577.03	217.14	1876.000
32	538.379	18574.28	219.89	2098.000
33	538.458	18571.53	222.63	2293.000
34	538.538	18568.79	225.38	2503.000
35	538.618	18566.05	228.12	2644.000
36	538.697	18563.30	230.86	2722.000
37	538.777	18560.56	233.61	2764.000
38	538.856	18557.82	236.35	2699.000
39	538.936	18555.08	239.09	2608.000
40	539.016	18552.34	241.83	2511.000
41	539.095	18549.60	244.57	2337.000
42	539.175	18546.86	247.31	2139.000
43	539.254	18544.12	250.04	1969.000
44	539.334	18541.39	252.78	1810.000
45	539.414	18538.65	255.52	1678.000
46	539.493	18535.92	258.25	1559.000
47	539.573	18533.18	260.99	1485.000
48	539.652	18530.45	263.72	1404.000
49	539.732	18527.71	266.45	1322.000
50	539.812	18524.98	269.18	1251.000
51	539.891	18522.25	271.92	1172.000
52	539.971	18519.52	274.65	1105.000
53	540.050	18516.79	277.38	1071.000
54	540.130	18514.06	280.11	1023.000
55	540.210	18511.33	282.83	946.000
56	540.289	18508.60	285.56	907.000
57	540.369	18505.88	288.29	885.000
58	540.448	18503.15	291.02	880.000
59	540.528	18500.43	293.74	866.000
60	540.608	18497.70	296.46	821.000
61	540.687	18494.98	299.19	808.000
62	540.767	18492.25	301.91	829.000
63	540.847	18489.53	304.63	822.000
64	540.926	18486.81	307.36	810.000
65	541.006	18484.09	310.08	808.000
66	541.085	18481.37	312.80	792.000
67	541.165	18478.65	315.52	787.000
68	541.245	18475.93	318.23	823.000
69	541.324	18473.21	320.95	807.000
70	541.404	18470.50	323.67	832.000
71	541.484	18467.78	326.38	797.000
72	541.563	18465.07	329.10	795.000
73	541.643	18462.35	331.81	780.000
74	541.722	18459.64	334.53	790.000
75	541.802	18456.93	337.24	791.000
76	541.882	18454.21	339.95	773.000
77	541.961	18451.50	342.67	769.000
78	542.041	18448.79	345.38	739.000
79	542.121	18446.08	348.09	773.000
80	542.200	18443.37	350.80	804.000
81	542.280	18440.66	353.50	783.000
82	542.359	18437.96	356.21	771.000
83	542.439	18435.25	358.92	771.000
84	542.519	18432.54	361.62	758.000
85	542.598	18429.84	364.33	772.000
86	542.678	18427.13	367.03	775.000
87	542.758	18424.43	369.74	777.000
88	542.837	18421.72	372.44	759.000
89	542.917	18419.02	375.14	759.000
90	542.997	18416.32	377.85	730.000
91	543.076	18413.62	380.55	722.000
92	543.156	18410.92	383.25	720.000
93	543.236	18408.22	385.95	755.000
94	543.315	18405.52	388.64	775.000
95	543.395	18402.82	391.34	774.000
96	543.475	18400.13	394.04	822.000
97	543.554	18397.43	396.74	880.000
98	543.634	18394.74	399.43	1069.000
99	543.713	18392.04	402.13	1323.000
100	543.793	18389.35	404.82	1659.000
101	543.873	18386.65	407.51	2006.000
102	543.952	18383.96	410.21	2328.000
103	544.032	18381.27	412.90	2512.000
104	544.112	18378.58	415.59	2492.000
105	544.191	18375.89	418.28	2351.000
106	544.271	18373.20	420.97	2172.000
107	544.351	18370.51	423.66	2007.000
108	544.430	18367.82	426.34	1887.000
109	544.510	18365.13	429.03	1804.000
110	544.590	18362.45	431.72	1803.000
111	544.669	18359.76	434.40	1917.000
112	544.749	18357.08	437.09	2060.000
113	544.829	18354.39	439.77	2182.000
114	544.908	18351.71	442.46	2239.000
115	544.988	18349.03	445.14	2190.000
116	545.068	18346.35	447.82	2024.000
117	545.147	18343.66	450.50	1855.000
118	545.227	18340.98	453.18	1689.000
119	545.307	18338.30	455.86	1631.000
120	545.386	18335.63	458.54	1565.000
121	545.466	18332.95	461.22	1478.000
122	545.546	18330.27	463.90	1412.000
123	545.625	18327.59	466.57	1321.000
124	545.705	18324.92	469.25	1245.000
