Instrument:  EduRaman Pro
The Light Source Type:  532.08nm laser/Tungsten lamp
Detector:  ERAM7X-1
Laser Power(%):  100%
Grating(g/mm):  1200
Slit Width:  50μm
Objective:  10x / 0.3NA
Acq. time(ms):  1000
Accumulation:  1
Spectra_type:  0-2000cm⁻¹
TimeSeq:  5
TimeCycle(ms):  100
Temperature:  -2.6℃
pixel(2026/03/27 15:10:50)	wavelength(2026/03/27 15:10:50)	wavenumber(2026/03/27 15:10:50)	ramanshift(2026/03/27 15:10:50)	intensity(2026/03/27 15:10:50)
1	535.912	18659.77	134.39	308.000
2	535.992	18657.00	137.16	352.000
3	536.071	18654.24	139.93	399.000
4	536.151	18651.47	142.70	420.000
5	536.230	18648.70	145.47	423.000
6	536.310	18645.93	148.23	473.000
7	536.390	18643.17	151.00	505.000
8	536.469	18640.40	153.76	528.000
9	536.549	18637.64	156.53	568.000
10	536.628	18634.88	159.29	594.000
11	536.708	18632.11	162.05	603.000
12	536.787	18629.35	164.81	592.000
13	536.867	18626.59	167.58	607.000
14	536.946	18623.83	170.34	616.000
15	537.026	18621.07	173.10	655.000
16	537.106	18618.31	175.85	676.000
17	537.185	18615.55	178.61	675.000
18	537.265	18612.80	181.37	673.000
19	537.344	18610.04	184.13	664.000
20	537.424	18607.29	186.88	650.000
21	537.503	18604.53	189.64	672.000
22	537.583	18601.78	192.39	714.000
23	537.663	18599.02	195.14	715.000
24	537.742	18596.27	197.89	719.000
25	537.822	18593.52	200.65	701.000
26	537.901	18590.77	203.40	697.000
27	537.981	18588.02	206.15	701.000
28	538.061	18585.27	208.90	733.000
29	538.140	18582.52	211.65	733.000
30	538.220	18579.77	214.39	725.000
31	538.299	18577.03	217.14	733.000
32	538.379	18574.28	219.89	749.000
33	538.458	18571.53	222.63	760.000
34	538.538	18568.79	225.38	782.000
35	538.618	18566.05	228.12	760.000
36	538.697	18563.30	230.86	758.000
37	538.777	18560.56	233.61	748.000
38	538.856	18557.82	236.35	752.000
39	538.936	18555.08	239.09	761.000
40	539.016	18552.34	241.83	758.000
41	539.095	18549.60	244.57	721.000
42	539.175	18546.86	247.31	709.000
43	539.254	18544.12	250.04	683.000
44	539.334	18541.39	252.78	705.000
45	539.414	18538.65	255.52	704.000
46	539.493	18535.92	258.25	687.000
47	539.573	18533.18	260.99	689.000
48	539.652	18530.45	263.72	665.000
49	539.732	18527.71	266.45	654.000
50	539.812	18524.98	269.18	650.000
51	539.891	18522.25	271.92	672.000
52	539.971	18519.52	274.65	667.000
53	540.050	18516.79	277.38	672.000
54	540.130	18514.06	280.11	643.000
55	540.210	18511.33	282.83	637.000
56	540.289	18508.60	285.56	638.000
57	540.369	18505.88	288.29	650.000
58	540.448	18503.15	291.02	651.000
59	540.528	18500.43	293.74	646.000
60	540.608	18497.70	296.46	629.000
61	540.687	18494.98	299.19	647.000
62	540.767	18492.25	301.91	640.000
63	540.847	18489.53	304.63	652.000
64	540.926	18486.81	307.36	654.000
65	541.006	18484.09	310.08	656.000
66	541.085	18481.37	312.80	643.000
67	541.165	18478.65	315.52	620.000
68	541.245	18475.93	318.23	647.000
69	541.324	18473.21	320.95	654.000
70	541.404	18470.50	323.67	671.000
71	541.484	18467.78	326.38	650.000
72	541.563	18465.07	329.10	635.000
73	541.643	18462.35	331.81	633.000
74	541.722	18459.64	334.53	647.000
75	541.802	18456.93	337.24	663.000
76	541.882	18454.21	339.95	668.000
77	541.961	18451.50	342.67	675.000
78	542.041	18448.79	345.38	658.000
79	542.121	18446.08	348.09	653.000
80	542.200	18443.37	350.80	649.000
81	542.280	18440.66	353.50	660.000
82	542.359	18437.96	356.21	669.000
83	542.439	18435.25	358.92	658.000
84	542.519	18432.54	361.62	666.000
85	542.598	18429.84	364.33	649.000
86	542.678	18427.13	367.03	643.000
87	542.758	18424.43	369.74	650.000
88	542.837	18421.72	372.44	678.000
89	542.917	18419.02	375.14	665.000
90	542.997	18416.32	377.85	663.000
91	543.076	18413.62	380.55	649.000
92	543.156	18410.92	383.25	680.000
93	543.236	18408.22	385.95	682.000
94	543.315	18405.52	388.64	686.000
95	543.395	18402.82	391.34	662.000
96	543.475	18400.13	394.04	649.000
97	543.554	18397.43	396.74	651.000
98	543.634	18394.74	399.43	689.000
99	543.713	18392.04	402.13	694.000
100	543.793	18389.35	404.82	698.000
101	543.873	18386.65	407.51	689.000
102	543.952	18383.96	410.21	702.000
103	544.032	18381.27	412.90	700.000
104	544.112	18378.58	415.59	720.000
105	544.191	18375.89	418.28	740.000
106	544.271	18373.20	420.97	732.000
107	544.351	18370.51	423.66	709.000
108	544.430	18367.82	426.34	725.000
109	544.510	18365.13	429.03	738.000
110	544.590	18362.45	431.72	777.000
111	544.669	18359.76	434.40	786.000
112	544.749	18357.08	437.09	757.000
113	544.829	18354.39	439.77	766.000
114	544.908	18351.71	442.46	780.000
115	544.988	18349.03	445.14	771.000
116	545.068	18346.35	447.82	772.000
117	545.147	18343.66	450.50	729.000
118	545.227	18340.98	453.18	719.000
119	545.307	18338.30	455.86	737.000
120	545.386	18335.63	458.54	741.000
121	545.466	18332.95	461.22	747.000
122	545.546	18330.27	463.90	735.000
123	545.625	18327.59	466.57	710.000
124	545.705	18324.92	469.25	716.000
125	545.785	18322.24	471.92	705.000
126	545.864	18319.57	474.60	723.000
127	545.944	18316.89	477.27	735.000
128	546.024	18314.22	479.94	701.000
129	546.103	18311.55	482.62	713.000
130	546.183	18308.88	485.29	708.000
131	546.263	18306.21	487.96	729.000
132	546.342	18303.54	490.63	724.000
133	546.422	18300.87	493.30	735.000
134	546.502	18298.20	495.97	695.000
135	546.582	18295.53	498.63	688.000
136	546.661	18292.87	501.30	683.000
137	546.741	18290.20	503.97	703.000
138	546.821	18287.53	506.63	729.000
139	546.900	18284.87	509.30	725.000
140	546.980	18282.21	511.96	701.000
141	547.060	18279.54	514.62	721.000
142	547.139	18276.88	517.29	711.000
143	547.219	18274.22	519.95	722.000
144	547.299	18271.56	522.61	748.000
145	547.378	18268.90	525.27	759.000
146	547.458	18266.24	527.93	775.000
147	547.538	18263.58	530.59	770.000
148	547.617	18260.92	533.24	795.000
149	547.697	18258.26	535.90	794.000
150	547.777	18255.61	538.56	777.000
151	547.857	18252.95	541.21	770.000
152	547.936	18250.30	543.87	760.000
153	548.016	18247.64	546.52	749.000
154	548.096	18244.99	549.18	789.000
155	548.175	18242.34	551.83	795.000
156	548.255	18239.69	554.48	801.000
157	548.335	18237.03	557.13	796.000
158	548.414	18234.38	559.78	766.000
159	548.494	18231.73	562.43	781.000
160	548.574	18229.09	565.08	769.000
161	548.654	18226.44	567.73	768.000
162	548.733	18223.79	570.38	800.000
163	548.813	18221.14	573.02	793.000
164	548.893	18218.50	575.67	772.000
165	548.972	18215.85	578.31	765.000
166	549.052	18213.21	580.96	783.000
167	549.132	18210.56	583.60	775.000
168	549.212	18207.92	586.25	793.000
169	549.291	18205.28	588.89	744.000
170	549.371	18202.64	591.53	739.000
171	549.451	18200.00	594.17	737.000
172	549.530	18197.36	596.81	741.000
173	549.610	18194.72	599.45	769.000
174	549.690	18192.08	602.09	764.000
175	549.770	18189.44	604.73	730.000
176	549.849	18186.80	607.36	719.000
177	549.929	18184.17	610.00	756.000
178	550.009	18181.53	612.63	738.000
179	550.088	18178.90	615.27	728.000
180	550.168	18176.26	617.90	714.000
181	550.248	18173.63	620.54	716.000
182	550.328	18171.00	623.17	756.000
183	550.407	18168.36	625.80	744.000
184	550.487	18165.73	628.43	731.000
185	550.567	18163.10	631.06	712.000
186	550.646	18160.47	633.69	709.000
187	550.726	18157.84	636.32	731.000
188	550.806	18155.22	638.95	735.000
189	550.886	18152.59	641.58	720.000
190	550.965	18149.96	644.20	709.000
191	551.045	18147.34	646.83	724.000
192	551.125	18144.71	649.46	727.000
193	551.205	18142.09	652.08	736.000
194	551.284	18139.46	654.70	712.000
195	551.364	18136.84	657.33	709.000
