Instrument:  EduRaman Pro
The Light Source Type:  532.08nm laser/Tungsten lamp
Detector:  ERAM7X-1
Laser Power(%):  100%
Grating(g/mm):  1200
Slit Width:  50μm
Objective:  10x / 0.3NA
Acq. time(ms):  1000
Accumulation:  1
Spectra_type:  0-2000cm⁻¹
TimeSeq:  5
TimeCycle(ms):  100
Temperature:  0.2℃
pixel(2026/03/27 10:50:02)	wavelength(2026/03/27 10:50:02)	wavenumber(2026/03/27 10:50:02)	ramanshift(2026/03/27 10:50:02)	intensity(2026/03/27 10:50:02)
1	535.912	18659.77	134.39	672.000
2	535.992	18657.00	137.16	776.000
3	536.071	18654.24	139.93	913.000
4	536.151	18651.47	142.70	1017.000
5	536.230	18648.70	145.47	1085.000
6	536.310	18645.93	148.23	1151.000
7	536.390	18643.17	151.00	1199.000
8	536.469	18640.40	153.76	1226.000
9	536.549	18637.64	156.53	1232.000
10	536.628	18634.88	159.29	1204.000
11	536.708	18632.11	162.05	1175.000
12	536.787	18629.35	164.81	1174.000
13	536.867	18626.59	167.58	1174.000
14	536.946	18623.83	170.34	1159.000
15	537.026	18621.07	173.10	1151.000
16	537.106	18618.31	175.85	1121.000
17	537.185	18615.55	178.61	1119.000
18	537.265	18612.80	181.37	1133.000
19	537.344	18610.04	184.13	1159.000
20	537.424	18607.29	186.88	1192.000
21	537.503	18604.53	189.64	1185.000
22	537.583	18601.78	192.39	1222.000
23	537.663	18599.02	195.14	1246.000
24	537.742	18596.27	197.89	1302.000
25	537.822	18593.52	200.65	1366.000
26	537.901	18590.77	203.40	1401.000
27	537.981	18588.02	206.15	1435.000
28	538.061	18585.27	208.90	1548.000
29	538.140	18582.52	211.65	1656.000
30	538.220	18579.77	214.39	1830.000
31	538.299	18577.03	217.14	1997.000
32	538.379	18574.28	219.89	2176.000
33	538.458	18571.53	222.63	2353.000
34	538.538	18568.79	225.38	2485.000
35	538.618	18566.05	228.12	2556.000
36	538.697	18563.30	230.86	2553.000
37	538.777	18560.56	233.61	2492.000
38	538.856	18557.82	236.35	2333.000
39	538.936	18555.08	239.09	2204.000
40	539.016	18552.34	241.83	2017.000
41	539.095	18549.60	244.57	1833.000
42	539.175	18546.86	247.31	1713.000
43	539.254	18544.12	250.04	1620.000
44	539.334	18541.39	252.78	1497.000
45	539.414	18538.65	255.52	1434.000
46	539.493	18535.92	258.25	1354.000
47	539.573	18533.18	260.99	1271.000
48	539.652	18530.45	263.72	1252.000
49	539.732	18527.71	266.45	1209.000
50	539.812	18524.98	269.18	1202.000
51	539.891	18522.25	271.92	1174.000
52	539.971	18519.52	274.65	1137.000
53	540.050	18516.79	277.38	1072.000
54	540.130	18514.06	280.11	1030.000
55	540.210	18511.33	282.83	1024.000
56	540.289	18508.60	285.56	990.000
57	540.369	18505.88	288.29	965.000
58	540.448	18503.15	291.02	942.000
59	540.528	18500.43	293.74	944.000
60	540.608	18497.70	296.46	954.000
61	540.687	18494.98	299.19	989.000
62	540.767	18492.25	301.91	963.000
63	540.847	18489.53	304.63	934.000
64	540.926	18486.81	307.36	952.000
65	541.006	18484.09	310.08	971.000
66	541.085	18481.37	312.80	975.000
67	541.165	18478.65	315.52	973.000
68	541.245	18475.93	318.23	963.000
69	541.324	18473.21	320.95	977.000
70	541.404	18470.50	323.67	991.000
71	541.484	18467.78	326.38	1011.000
72	541.563	18465.07	329.10	1015.000
73	541.643	18462.35	331.81	988.000
74	541.722	18459.64	334.53	950.000
75	541.802	18456.93	337.24	954.000
76	541.882	18454.21	339.95	930.000
77	541.961	18451.50	342.67	944.000
78	542.041	18448.79	345.38	944.000
79	542.121	18446.08	348.09	953.000
80	542.200	18443.37	350.80	966.000
81	542.280	18440.66	353.50	957.000
82	542.359	18437.96	356.21	954.000
83	542.439	18435.25	358.92	948.000
84	542.519	18432.54	361.62	1001.000
85	542.598	18429.84	364.33	960.000
86	542.678	18427.13	367.03	931.000
87	542.758	18424.43	369.74	914.000
88	542.837	18421.72	372.44	907.000
89	542.917	18419.02	375.14	913.000
90	542.997	18416.32	377.85	905.000
91	543.076	18413.62	380.55	896.000
92	543.156	18410.92	383.25	894.000
93	543.236	18408.22	385.95	909.000
94	543.315	18405.52	388.64	915.000
95	543.395	18402.82	391.34	962.000
96	543.475	18400.13	394.04	1007.000
97	543.554	18397.43	396.74	1085.000
98	543.634	18394.74	399.43	1252.000
99	543.713	18392.04	402.13	1490.000
100	543.793	18389.35	404.82	1826.000
101	543.873	18386.65	407.51	2121.000
102	543.952	18383.96	410.21	2356.000
103	544.032	18381.27	412.90	2448.000
104	544.112	18378.58	415.59	2474.000
105	544.191	18375.89	418.28	2517.000
106	544.271	18373.20	420.97	2436.000
107	544.351	18370.51	423.66	2240.000
108	544.430	18367.82	426.34	2081.000
109	544.510	18365.13	429.03	2050.000
110	544.590	18362.45	431.72	2296.000
111	544.669	18359.76	434.40	2612.000
112	544.749	18357.08	437.09	2792.000
113	544.829	18354.39	439.77	2698.000
114	544.908	18351.71	442.46	2298.000
115	544.988	18349.03	445.14	1948.000
116	545.068	18346.35	447.82	1623.000
117	545.147	18343.66	450.50	1450.000
118	545.227	18340.98	453.18	1396.000
119	545.307	18338.30	455.86	1319.000
120	545.386	18335.63	458.54	1317.000
121	545.466	18332.95	461.22	1320.000
122	545.546	18330.27	463.90	1281.000
123	545.625	18327.59	466.57	1269.000
124	545.705	18324.92	469.25	1219.000
125	545.785	18322.24	471.92	1184.000
126	545.864	18319.57	474.60	1105.000
127	545.944	18316.89	477.27	1098.000
128	546.024	18314.22	479.94	1074.000
129	546.103	18311.55	482.62	1115.000
130	546.183	18308.88	485.29	1123.000
131	546.263	18306.21	487.96	1115.000
132	546.342	18303.54	490.63	1054.000
133	546.422	18300.87	493.30	1000.000
134	546.502	18298.20	495.97	993.000
135	546.582	18295.53	498.63	977.000
136	546.661	18292.87	501.30	1029.000
137	546.741	18290.20	503.97	1078.000
138	546.821	18287.53	506.63	1106.000
139	546.900	18284.87	509.30	1149.000
140	546.980	18282.21	511.96	1175.000
141	547.060	18279.54	514.62	1231.000
142	547.139	18276.88	517.29	1371.000
143	547.219	18274.22	519.95	1567.000
144	547.299	18271.56	522.61	1844.000
145	547.378	18268.90	525.27	2070.000
146	547.458	18266.24	527.93	2139.000
147	547.538	18263.58	530.59	1964.000
148	547.617	18260.92	533.24	1666.000
149	547.697	18258.26	535.90	1360.000
150	547.777	18255.61	538.56	1146.000
151	547.857	18252.95	541.21	1009.000
152	547.936	18250.30	543.87	934.000
153	548.016	18247.64	546.52	907.000
154	548.096	18244.99	549.18	895.000
155	548.175	18242.34	551.83	904.000
156	548.255	18239.69	554.48	947.000
157	548.335	18237.03	557.13	983.000
158	548.414	18234.38	559.78	997.000
159	548.494	18231.73	562.43	1012.000
160	548.574	18229.09	565.08	984.000
161	548.654	18226.44	567.73	927.000
162	548.733	18223.79	570.38	965.000
163	548.813	18221.14	573.02	969.000
164	548.893	18218.50	575.67	1001.000
165	548.972	18215.85	578.31	979.000
166	549.052	18213.21	580.96	934.000
167	549.132	18210.56	583.60	906.000
168	549.212	18207.92	586.25	878.000
169	549.291	18205.28	588.89	837.000
170	549.371	18202.64	591.53	815.000
171	549.451	18200.00	594.17	812.000
172	549.530	18197.36	596.81	790.000
173	549.610	18194.72	599.45	784.000
174	549.690	18192.08	602.09	745.000
175	549.770	18189.44	604.73	728.000
176	549.849	18186.80	607.36	742.000
177	549.929	18184.17	610.00	773.000
178	550.009	18181.53	612.63	760.000
179	550.088	18178.90	615.27	771.000
180	550.168	18176.26	617.90	763.000
181	550.248	18173.63	620.54	781.000
182	550.328	18171.00	623.17	800.000
183	550.407	18168.36	625.80	803.000
184	550.487	18165.73	628.43	792.000
185	550.567	18163.10	631.06	776.000
186	550.646	18160.47	633.69	766.000
187	550.726	18157.84	636.32	715.000
188	550.806	18155.22	638.95	725.000
189	550.886	18152.59	641.58	703.000
190	550.965	18149.96	644.20	726.000
191	551.045	18147.34	646.83	752.000
192	551.125	18144.71	649.46	769.000
193	551.205	18142.09	652.08	813.000
194	551.284	18139.46	654.70	876.000
195	551.364	18136.84	657.33	970.000
196	551.444	18134.22	659.95	1041.000
197	551.523	18131.60	662.57	1004.000
198	551.603	18128.98	665.19	914.000
199	551.683	18126.35	667.81	849.000
200	551.763	18123.74	670.43	778.000
201	551.842	18121.12	673.05	758.000
202	551.922	18118.50	675.67	719.000
203	552.002	18115.88	678.28	713.000
204	552.082	18113.27	680.90	684.000
205	552.161	18110.65	683.52	694.000
206	552.241	18108.03	686.13	684.000
207	552.321	18105.42	688.75	715.000
208	552.401	18102.81	691.36	760.000
209	552.480	18100.19	693.97	763.000
210	552.560	18097.58	696.58	786.000
211	552.640	18094.97	699.20	793.000
212	552.719	18092.36	701.81	785.000
213	552.799	18089.75	704.42	764.000
214	552.879	18087.14	707.02	729.000
215	552.959	18084.53	709.63	700.000
216	553.038	18081.93	712.24	680.000
217	553.118	18079.32	714.85	712.000
218	553.198	18076.71	717.45	746.000
219	553.278	18074.11	720.06	853.000
220	553.357	18071.50	722.66	925.000
221	553.437	18068.90	725.27	998.000
222	553.517	18066.30	727.87	1071.000
223	553.597	18063.69	730.47	1179.000
224	553.676	18061.09	733.08	1199.000
225	553.756	18058.49	735.68	1087.000
226	553.836	18055.89	738.28	918.000
227	553.916	18053.29	740.88	802.000
228	553.995	18050.69	743.48	806.000
229	554.075	18048.09	746.07	896.000
230	554.155	18045.50	748.67	1041.000
231	554.235	18042.90	751.27	1143.000
232	554.314	18040.30	753.86	1146.000
233	554.394	18037.71	756.46	1239.000
234	554.474	18035.11	759.05	1207.000
235	554.554	18032.52	761.65	1042.000
236	554.633	18029.93	764.24	924.000
237	554.713	18027.33	766.83	889.000
238	554.793	18024.74	769.42	951.000
239	554.873	18022.15	772.02	1050.000
240	554.952	18019.56	774.61	1158.000
241	555.032	18016.97	777.19	1228.000
242	555.112	18014.38	779.78	1309.000
243	555.192	18011.79	782.37	1450.000
244	555.272	18009.21	784.96	1679.000
245	555.351	18006.62	787.55	1969.000
246	555.431	18004.04	790.13	2285.000
247	555.511	18001.45	792.72	2686.000
248	555.591	17998.87	795.30	3016.000
249	555.670	17996.28	797.88	3214.000
250	555.750	17993.70	800.47	3159.000
251	555.830	17991.12	803.05	2827.000
252	555.910	17988.54	805.63	2375.000
253	555.989	17985.95	808.21	1935.000
254	556.069	17983.37	810.79	1589.000
255	556.149	17980.80	813.37	1332.000
256	556.229	17978.22	815.95	1152.000
257	556.308	17975.64	818.53	1093.000
258	556.388	17973.06	821.10	1068.000
259	556.468	17970.49	823.68	1078.000
260	556.548	17967.91	826.26	1067.000
261	556.628	17965.33	828.83	1045.000
262	556.707	17962.76	831.41	1008.000
263	556.787	17960.19	833.98	982.000
264	556.867	17957.61	836.55	972.000
265	556.947	17955.04	839.12	982.000
266	557.026	17952.47	841.70	979.000
267	557.106	17949.90	844.27	973.000
