bGennerate:0
capture_settings:{"isBlankCap":"0","laser":"100%","nInteCount":"1","nInteTime":"100000","nTimeCycle":"100","nTimeSeq":"5","objGlass":"10x / 0.3NA","slit":"50μm","spectra_type":"0-2000cm⁻¹"}
Pixel	Wavelength	RamanShift	Value
1	535.912	134.39	763.000
2	535.992	137.16	887.000
3	536.071	139.93	1062.000
4	536.151	142.70	1209.000
5	536.230	145.47	1340.000
6	536.310	148.23	1414.000
7	536.390	151.00	1509.000
8	536.469	153.76	1591.000
9	536.549	156.53	1655.000
10	536.628	159.29	1676.000
11	536.708	162.05	1678.000
12	536.787	164.81	1734.000
13	536.867	167.58	1738.000
14	536.946	170.34	1773.000
15	537.026	173.10	1839.000
16	537.106	175.85	1859.000
17	537.185	178.61	1909.000
18	537.265	181.37	1969.000
19	537.344	184.13	2062.000
20	537.424	186.88	2160.000
21	537.503	189.64	2299.000
22	537.583	192.39	2445.000
23	537.663	195.14	2600.000
24	537.742	197.89	2706.000
25	537.822	200.65	2866.000
26	537.901	203.40	3022.000
27	537.981	206.15	3224.000
28	538.061	208.90	3469.000
29	538.140	211.65	3668.000
30	538.220	214.39	3950.000
31	538.299	217.14	4359.000
32	538.379	219.89	4885.000
33	538.458	222.63	5373.000
34	538.538	225.38	5831.000
35	538.618	228.12	6239.000
36	538.697	230.86	6503.000
37	538.777	233.61	6582.000
38	538.856	236.35	6506.000
39	538.936	239.09	6218.000
40	539.016	241.83	5839.000
41	539.095	244.57	5451.000
42	539.175	247.31	4993.000
43	539.254	250.04	4579.000
44	539.334	252.78	4171.000
45	539.414	255.52	3813.000
46	539.493	258.25	3502.000
47	539.573	260.99	3251.000
48	539.652	263.72	3042.000
49	539.732	266.45	2883.000
50	539.812	269.18	2685.000
51	539.891	271.92	2517.000
52	539.971	274.65	2363.000
53	540.050	277.38	2261.000
54	540.130	280.11	2131.000
55	540.210	282.83	2014.000
56	540.289	285.56	1909.000
57	540.369	288.29	1846.000
58	540.448	291.02	1824.000
59	540.528	293.74	1792.000
60	540.608	296.46	1722.000
61	540.687	299.19	1719.000
62	540.767	301.91	1729.000
63	540.847	304.63	1724.000
64	540.926	307.36	1702.000
65	541.006	310.08	1699.000
66	541.085	312.80	1690.000
67	541.165	315.52	1700.000
68	541.245	318.23	1705.000
69	541.324	320.95	1679.000
70	541.404	323.67	1668.000
71	541.484	326.38	1674.000
72	541.563	329.10	1689.000
73	541.643	331.81	1680.000
74	541.722	334.53	1675.000
75	541.802	337.24	1635.000
76	541.882	339.95	1589.000
77	541.961	342.67	1599.000
78	542.041	345.38	1597.000
79	542.121	348.09	1624.000
80	542.200	350.80	1642.000
81	542.280	353.50	1683.000
82	542.359	356.21	1654.000
83	542.439	358.92	1691.000
84	542.519	361.62	1652.000
85	542.598	364.33	1669.000
86	542.678	367.03	1669.000
87	542.758	369.74	1617.000
88	542.837	372.44	1600.000
89	542.917	375.14	1601.000
90	542.997	377.85	1593.000
91	543.076	380.55	1604.000
92	543.156	383.25	1626.000
93	543.236	385.95	1625.000
94	543.315	388.64	1647.000
95	543.395	391.34	1704.000
96	543.475	394.04	1831.000
97	543.554	396.74	2038.000
98	543.634	399.43	2413.000
99	543.713	402.13	3056.000
100	543.793	404.82	3902.000
101	543.873	407.51	4944.000
102	543.952	410.21	5816.000
103	544.032	412.90	6247.000
104	544.112	415.59	5996.000
105	544.191	418.28	5558.000
106	544.271	420.97	5097.000
107	544.351	423.66	4672.000
108	544.430	426.34	4305.000
109	544.510	429.03	4118.000
110	544.590	431.72	4093.000
111	544.669	434.40	4412.000
112	544.749	437.09	4885.000
113	544.829	439.77	5305.000
114	544.908	442.46	5545.000
115	544.988	445.14	5504.000
116	545.068	447.82	5120.000
117	545.147	450.50	4721.000
118	545.227	453.18	4289.000
119	545.307	455.86	4001.000
120	545.386	458.54	3815.000
121	545.466	461.22	3657.000
122	545.546	463.90	3470.000
123	545.625	466.57	3194.000
124	545.705	469.25	2973.000
125	545.785	471.92	2684.000
126	545.864	474.60	2424.000
127	545.944	477.27	2254.000
128	546.024	479.94	2104.000
129	546.103	482.62	1993.000
130	546.183	485.29	1944.000
131	546.263	487.96	1873.000
132	546.342	490.63	1809.000
133	546.422	493.30	1699.000
134	546.502	495.97	1616.000
135	546.582	498.63	1618.000
136	546.661	501.30	1637.000
137	546.741	503.97	1681.000
138	546.821	506.63	1750.000
139	546.900	509.30	1810.000
140	546.980	511.96	1869.000
141	547.060	514.62	1950.000
142	547.139	517.29	2038.000
143	547.219	519.95	2253.000
144	547.299	522.61	2589.000
145	547.378	525.27	3037.000
146	547.458	527.93	3606.000
147	547.538	530.59	4153.000
148	547.617	533.24	4462.000
149	547.697	535.90	4367.000
150	547.777	538.56	3913.000
151	547.857	541.21	3285.000
152	547.936	543.87	2644.000
153	548.016	546.52	2155.000
154	548.096	549.18	1818.000
155	548.175	551.83	1633.000
156	548.255	554.48	1574.000
157	548.335	557.13	1559.000
158	548.414	559.78	1525.000
159	548.494	562.43	1477.000
160	548.574	565.08	1427.000
161	548.654	567.73	1429.000
162	548.733	570.38	1459.000
163	548.813	573.02	1541.000
164	548.893	575.67	1579.000
165	548.972	578.31	1578.000
166	549.052	580.96	1445.000
167	549.132	583.60	1293.000
168	549.212	586.25	1223.000
169	549.291	588.89	1180.000
170	549.371	591.53	1143.000
171	549.451	594.17	1092.000
172	549.530	596.81	1052.000
173	549.610	599.45	1055.000
174	549.690	602.09	1041.000
175	549.770	604.73	1042.000
176	549.849	607.36	1057.000
177	549.929	610.00	1042.000
178	550.009	612.63	1043.000
179	550.088	615.27	1090.000
180	550.168	617.90	1113.000
181	550.248	620.54	1207.000
182	550.328	623.17	1275.000
183	550.407	625.80	1310.000
184	550.487	628.43	1356.000
185	550.567	631.06	1282.000
186	550.646	633.69	1196.000
187	550.726	636.32	1138.000
188	550.806	638.95	1094.000
189	550.886	641.58	1069.000
190	550.965	644.20	1098.000
191	551.045	646.83	1110.000
192	551.125	649.46	1204.000
193	551.205	652.08	1270.000
194	551.284	654.70	1376.000
195	551.364	657.33	1502.000
196	551.444	659.95	1566.000
197	551.523	662.57	1587.000
198	551.603	665.19	1478.000
199	551.683	667.81	1353.000
200	551.763	670.43	1271.000
201	551.842	673.05	1192.000
202	551.922	675.67	1155.000
203	552.002	678.28	1170.000
204	552.082	680.90	1152.000
205	552.161	683.52	1159.000
206	552.241	686.13	1160.000
207	552.321	688.75	1167.000
208	552.401	691.36	1247.000
209	552.480	693.97	1319.000
210	552.560	696.58	1383.000
211	552.640	699.20	1417.000
212	552.719	701.81	1383.000
213	552.799	704.42	1342.000
214	552.879	707.02	1273.000
215	552.959	709.63	1245.000
216	553.038	712.24	1216.000
217	553.118	714.85	1225.000
218	553.198	717.45	1283.000
219	553.278	720.06	1414.000
220	553.357	722.66	1569.000
221	553.437	725.27	1736.000
222	553.517	727.87	1874.000
223	553.597	730.47	1972.000
224	553.676	733.08	1961.000
225	553.756	735.68	1871.000
226	553.836	738.28	1652.000
227	553.916	740.88	1502.000
228	553.995	743.48	1450.000
229	554.075	746.07	1529.000
230	554.155	748.67	1601.000
231	554.235	751.27	1763.000
232	554.314	753.86	1982.000
233	554.394	756.46	2137.000
234	554.474	759.05	2228.000
235	554.554	761.65	2185.000
236	554.633	764.24	1951.000
237	554.713	766.83	1720.000
238	554.793	769.42	1694.000
239	554.873	772.02	1758.000
240	554.952	774.61	1851.000
241	555.032	777.19	1990.000
242	555.112	779.78	2167.000
243	555.192	782.37	2507.000
244	555.272	784.96	3081.000
245	555.351	787.55	3886.000
246	555.431	790.13	5041.000
247	555.511	792.72	6494.000
248	555.591	795.30	8073.000
249	555.670	797.88	9319.000
250	555.750	800.47	9407.000
251	555.830	803.05	8353.000
252	555.910	805.63	6647.000
253	555.989	808.21	4897.000
254	556.069	810.79	3641.000
255	556.149	813.37	2780.000
256	556.229	815.95	2258.000
257	556.308	818.53	2051.000
258	556.388	821.10	2057.000
259	556.468	823.68	2194.000
260	556.548	826.26	2280.000
261	556.628	828.83	2251.000
262	556.707	831.41	2178.000
263	556.787	833.98	2079.000
264	556.867	836.55	2005.000
265	556.947	839.12	1863.000
266	557.026	841.70	1815.000
267	557.106	844.27	1758.000
268	557.186	846.84	1700.000
269	557.266	849.41	1665.000
270	557.346	851.97	1553.000
271	557.425	854.54	1450.000
272	557.505	857.11	1365.000
273	557.585	859.68	1307.000
274	557.665	862.24	1282.000
275	557.744	864.81	1278.000
276	557.824	867.37	1272.000
277	557.904	869.93	1242.000
278	557.984	872.50	1257.000
279	558.064	875.06	1270.000
280	558.143	877.62	1300.000
281	558.223	880.18	1271.000
282	558.303	882.74	1302.000
283	558.383	885.30	1349.000
284	558.462	887.86	1416.000
285	558.542	890.42	1505.000
286	558.622	892.97	1611.000
287	558.702	895.53	1762.000
288	558.782	898.08	2001.000
289	558.861	900.64	2283.000
290	558.941	903.19	2545.000
291	559.021	905.75	3004.000
292	559.101	908.30	3737.000
293	559.180	910.85	4844.000
294	559.260	913.40	5891.000
295	559.340	915.95	6202.000
296	559.420	918.50	5458.000
297	559.500	921.05	4120.000
298	559.579	923.60	3010.000
299	559.659	926.15	2442.000
300	559.739	928.70	2283.000
301	559.819	931.24	2456.000
302	559.899	933.79	2778.000
303	559.978	936.33	3071.000
304	560.058	938.88	3180.000
305	560.138	941.42	2968.000
306	560.218	943.96	2558.000
307	560.298	946.51	2161.000
308	560.377	949.05	1838.000
309	560.457	951.59	1675.000
310	560.537	954.13	1608.000
311	560.617	956.67	1598.000
312	560.697	959.21	1612.000
313	560.776	961.74	1684.000
314	560.856	964.28	1719.000
315	560.936	966.82	1747.000
316	561.016	969.35	1781.000
317	561.096	971.89	1831.000
318	561.175	974.42	1943.000
319	561.255	976.96	2077.000
320	561.335	979.49	2308.000
321	561.415	982.02	2449.000
322	561.495	984.55	2503.000
323	561.574	987.08	2439.000
324	561.654	989.61	2330.000
325	561.734	992.14	2244.000
326	561.814	994.67	2292.000
327	561.894	997.20	2359.000
328	561.973	999.73	2345.000
329	562.053	1002.25	2142.000
330	562.133	1004.78	1811.000
331	562.213	1007.30	1533.000
332	562.293	1009.83	1399.000
333	562.372	1012.35	1375.000
334	562.452	1014.88	1387.000
335	562.532	1017.40	1385.000
336	562.612	1019.92	1400.000
337	562.692	1022.44	1393.000
338	562.771	1024.96	1394.000
339	562.851	1027.48	1390.000
340	562.931	1030.00	1397.000
341	563.011	1032.52	1398.000
342	563.091	1035.03	1358.000
343	563.170	1037.55	1298.000
344	563.250	1040.07	1280.000
345	563.330	1042.58	1304.000
346	563.410	1045.10	1290.000
347	563.490	1047.61	1296.000
348	563.569	1050.12	1286.000
349	563.649	1052.64	1293.000
350	563.729	1055.15	1296.000
351	563.809	1057.66	1343.000
352	563.889	1060.17	1349.000
353	563.969	1062.68	1364.000
354	564.048	1065.19	1314.000
355	564.128	1067.70	1336.000
356	564.208	1070.20	1367.000
357	564.288	1072.71	1398.000
358	564.368	1075.22	1402.000
359	564.447	1077.72	1418.000
360	564.527	1080.23	1381.000
361	564.607	1082.73	1422.000
362	564.687	1085.24	1407.000
363	564.767	1087.74	1404.000
364	564.846	1090.24	1422.000
365	564.926	1092.74	1419.000
366	565.006	1095.24	1452.000
367	565.086	1097.74	1442.000
368	565.166	1100.24	1459.000
369	565.246	1102.74	1464.000
370	565.325	1105.24	1513.000
371	565.405	1107.73	1554.000
372	565.485	1110.23	1559.000
373	565.565	1112.73	1600.000
374	565.645	1115.22	1641.000
375	565.724	1117.72	1681.000
376	565.804	1120.21	1703.000
377	565.884	1122.70	1764.000
378	565.964	1125.20	1783.000
379	566.044	1127.69	1825.000
380	566.124	1130.18	1876.000
381	566.203	1132.67	1934.000
382	566.283	1135.16	2008.000
383	566.363	1137.65	2106.000
384	566.443	1140.13	2146.000
385	566.523	1142.62	2240.000
386	566.602	1145.11	2337.000
387	566.682	1147.59	2465.000
388	566.762	1150.08	2687.000
389	566.842	1152.56	3004.000
390	566.922	1155.05	3423.000
391	567.002	1157.53	3964.000
392	567.081	1160.01	4831.000
393	567.161	1162.50	6010.000
394	567.241	1164.98	7580.000
395	567.321	1167.46	9169.000
396	567.401	1169.94	10357.000
397	567.481	1172.42	10653.000
398	567.560	1174.90	10332.000
399	567.640	1177.37	9579.000
400	567.720	1179.85	8846.000
401	567.800	1182.33	7951.000
402	567.880	1184.80	6990.000
403	567.960	1187.28	5937.000
404	568.039	1189.75	5083.000
405	568.119	1192.23	4371.000
406	568.199	1194.70	3833.000
407	568.279	1197.17	3413.000
408	568.359	1199.64	3098.000
409	568.438	1202.11	3053.000
410	568.518	1204.58	3233.000
411	568.598	1207.05	3839.000
412	568.678	1209.52	5179.000
413	568.758	1211.99	7338.000
414	568.838	1214.46	9857.000
415	568.917	1216.92	11676.000
416	568.997	1219.39	11497.000
417	569.077	1221.86	9396.000
418	569.157	1224.32	6727.000
419	569.237	1226.78	4767.000
420	569.317	1229.25	3589.000
421	569.396	1231.71	2911.000
422	569.476	1234.17	2469.000
423	569.556	1236.63	2264.000
424	569.636	1239.09	2088.000
425	569.716	1241.55	1990.000
426	569.796	1244.01	1958.000
427	569.875	1246.47	1942.000
428	569.955	1248.93	1932.000
429	570.035	1251.39	1910.000
430	570.115	1253.84	1909.000
431	570.195	1256.30	1943.000
432	570.275	1258.75	1983.000
433	570.354	1261.21	2030.000
434	570.434	1263.66	2124.000
435	570.514	1266.12	2196.000
436	570.594	1268.57	2323.000
437	570.674	1271.02	2471.000
438	570.754	1273.47	2747.000
439	570.833	1275.92	3044.000
440	570.913	1278.37	3650.000
441	570.993	1280.82	4515.000
442	571.073	1283.27	5825.000
443	571.153	1285.72	7441.000
444	571.233	1288.16	8986.000
445	571.312	1290.61	9967.000
446	571.392	1293.05	9803.000
447	571.472	1295.50	8721.000
448	571.552	1297.94	7183.000
449	571.632	1300.39	5736.000
450	571.712	1302.83	4611.000
451	571.791	1305.27	3856.000
452	571.871	1307.71	3427.000
453	571.951	1310.16	3175.000
454	572.031	1312.60	3022.000
455	572.111	1315.03	2883.000
456	572.191	1317.47	2884.000
457	572.270	1319.91	2912.000
458	572.350	1322.35	3015.000
459	572.430	1324.79	3210.000
460	572.510	1327.22	3610.000
461	572.590	1329.66	4304.000
462	572.670	1332.09	5206.000
463	572.750	1334.53	5987.000
