bGennerate:0
capture_settings:{"isBlankCap":"0","laser":"100%","nInteCount":"1","nInteTime":"100000","nTimeCycle":"100","nTimeSeq":"5","objGlass":"10x / 0.3NA","slit":"50μm","spectra_type":"0-2000cm⁻¹"}
Pixel	Wavelength	RamanShift	Value
1	535.912	134.39	411.000
2	535.992	137.16	468.000
3	536.071	139.93	561.000
4	536.151	142.70	604.000
5	536.230	145.47	659.000
6	536.310	148.23	692.000
7	536.390	151.00	731.000
8	536.469	153.76	757.000
9	536.549	156.53	792.000
10	536.628	159.29	820.000
11	536.708	162.05	839.000
12	536.787	164.81	836.000
13	536.867	167.58	837.000
14	536.946	170.34	837.000
15	537.026	173.10	881.000
16	537.106	175.85	907.000
17	537.185	178.61	905.000
18	537.265	181.37	918.000
19	537.344	184.13	947.000
20	537.424	186.88	995.000
21	537.503	189.64	1069.000
22	537.583	192.39	1114.000
23	537.663	195.14	1154.000
24	537.742	197.89	1219.000
25	537.822	200.65	1263.000
26	537.901	203.40	1361.000
27	537.981	206.15	1413.000
28	538.061	208.90	1491.000
29	538.140	211.65	1579.000
30	538.220	214.39	1717.000
31	538.299	217.14	1876.000
32	538.379	219.89	2098.000
33	538.458	222.63	2293.000
34	538.538	225.38	2503.000
35	538.618	228.12	2644.000
36	538.697	230.86	2722.000
37	538.777	233.61	2764.000
38	538.856	236.35	2699.000
39	538.936	239.09	2608.000
40	539.016	241.83	2511.000
41	539.095	244.57	2337.000
42	539.175	247.31	2139.000
43	539.254	250.04	1969.000
44	539.334	252.78	1810.000
45	539.414	255.52	1678.000
46	539.493	258.25	1559.000
47	539.573	260.99	1485.000
48	539.652	263.72	1404.000
49	539.732	266.45	1322.000
50	539.812	269.18	1251.000
51	539.891	271.92	1172.000
52	539.971	274.65	1105.000
53	540.050	277.38	1071.000
54	540.130	280.11	1023.000
55	540.210	282.83	946.000
56	540.289	285.56	907.000
57	540.369	288.29	885.000
58	540.448	291.02	880.000
59	540.528	293.74	866.000
60	540.608	296.46	821.000
61	540.687	299.19	808.000
62	540.767	301.91	829.000
63	540.847	304.63	822.000
64	540.926	307.36	810.000
65	541.006	310.08	808.000
66	541.085	312.80	792.000
67	541.165	315.52	787.000
68	541.245	318.23	823.000
69	541.324	320.95	807.000
70	541.404	323.67	832.000
71	541.484	326.38	797.000
72	541.563	329.10	795.000
73	541.643	331.81	780.000
74	541.722	334.53	790.000
75	541.802	337.24	791.000
76	541.882	339.95	773.000
77	541.961	342.67	769.000
78	542.041	345.38	739.000
79	542.121	348.09	773.000
80	542.200	350.80	804.000
81	542.280	353.50	783.000
82	542.359	356.21	771.000
83	542.439	358.92	771.000
84	542.519	361.62	758.000
85	542.598	364.33	772.000
86	542.678	367.03	775.000
87	542.758	369.74	777.000
88	542.837	372.44	759.000
89	542.917	375.14	759.000
90	542.997	377.85	730.000
91	543.076	380.55	722.000
92	543.156	383.25	720.000
93	543.236	385.95	755.000
94	543.315	388.64	775.000
95	543.395	391.34	774.000
96	543.475	394.04	822.000
97	543.554	396.74	880.000
98	543.634	399.43	1069.000
99	543.713	402.13	1323.000
100	543.793	404.82	1659.000
101	543.873	407.51	2006.000
102	543.952	410.21	2328.000
103	544.032	412.90	2512.000
104	544.112	415.59	2492.000
105	544.191	418.28	2351.000
106	544.271	420.97	2172.000
107	544.351	423.66	2007.000
108	544.430	426.34	1887.000
109	544.510	429.03	1804.000
110	544.590	431.72	1803.000
111	544.669	434.40	1917.000
112	544.749	437.09	2060.000
113	544.829	439.77	2182.000
114	544.908	442.46	2239.000
115	544.988	445.14	2190.000
116	545.068	447.82	2024.000
117	545.147	450.50	1855.000
118	545.227	453.18	1689.000
119	545.307	455.86	1631.000
120	545.386	458.54	1565.000
121	545.466	461.22	1478.000
122	545.546	463.90	1412.000
123	545.625	466.57	1321.000
124	545.705	469.25	1245.000
125	545.785	471.92	1156.000
126	545.864	474.60	1032.000
127	545.944	477.27	955.000
128	546.024	479.94	892.000
129	546.103	482.62	894.000
130	546.183	485.29	883.000
131	546.263	487.96	813.000
132	546.342	490.63	780.000
133	546.422	493.30	742.000
134	546.502	495.97	734.000
135	546.582	498.63	747.000
136	546.661	501.30	731.000
137	546.741	503.97	730.000
138	546.821	506.63	775.000
139	546.900	509.30	795.000
140	546.980	511.96	826.000
