bGennerate:0
capture_settings:{"isBlankCap":"0","laser":"100%","nInteCount":"1","nInteTime":"1000000","nTimeCycle":"100","nTimeSeq":"5","objGlass":"10x / 0.3NA","slit":"50μm","spectra_type":"0-2000cm⁻¹"}
Pixel	Wavelength	RamanShift	Value
1	535.912	134.39	425.000
2	535.992	137.16	488.000
3	536.071	139.93	560.000
4	536.151	142.70	591.000
5	536.230	145.47	618.000
6	536.310	148.23	645.000
7	536.390	151.00	661.000
8	536.469	153.76	695.000
9	536.549	156.53	673.000
10	536.628	159.29	651.000
11	536.708	162.05	652.000
12	536.787	164.81	627.000
13	536.867	167.58	654.000
14	536.946	170.34	644.000
15	537.026	173.10	607.000
16	537.106	175.85	588.000
17	537.185	178.61	582.000
18	537.265	181.37	597.000
19	537.344	184.13	581.000
20	537.424	186.88	558.000
21	537.503	189.64	541.000
22	537.583	192.39	537.000
23	537.663	195.14	530.000
24	537.742	197.89	538.000
25	537.822	200.65	553.000
26	537.901	203.40	543.000
27	537.981	206.15	536.000
28	538.061	208.90	527.000
29	538.140	211.65	522.000
30	538.220	214.39	560.000
31	538.299	217.14	563.000
32	538.379	219.89	554.000
33	538.458	222.63	538.000
34	538.538	225.38	561.000
35	538.618	228.12	561.000
36	538.697	230.86	598.000
37	538.777	233.61	570.000
38	538.856	236.35	553.000
39	538.936	239.09	546.000
40	539.016	241.83	560.000
41	539.095	244.57	549.000
42	539.175	247.31	549.000
43	539.254	250.04	520.000
44	539.334	252.78	504.000
45	539.414	255.52	512.000
46	539.493	258.25	490.000
47	539.573	260.99	523.000
48	539.652	263.72	516.000
49	539.732	266.45	497.000
50	539.812	269.18	505.000
51	539.891	271.92	492.000
52	539.971	274.65	505.000
53	540.050	277.38	514.000
54	540.130	280.11	516.000
55	540.210	282.83	501.000
56	540.289	285.56	499.000
57	540.369	288.29	487.000
58	540.448	291.02	481.000
59	540.528	293.74	518.000
60	540.608	296.46	525.000
61	540.687	299.19	516.000
62	540.767	301.91	499.000
63	540.847	304.63	490.000
64	540.926	307.36	523.000
65	541.006	310.08	524.000
66	541.085	312.80	518.000
67	541.165	315.52	492.000
68	541.245	318.23	492.000
69	541.324	320.95	499.000
70	541.404	323.67	514.000
71	541.484	326.38	520.000
72	541.563	329.10	529.000
73	541.643	331.81	500.000
74	541.722	334.53	495.000
75	541.802	337.24	491.000
76	541.882	339.95	522.000
77	541.961	342.67	557.000
78	542.041	345.38	524.000
79	542.121	348.09	506.000
80	542.200	350.80	505.000
81	542.280	353.50	533.000
82	542.359	356.21	545.000
83	542.439	358.92	502.000
84	542.519	361.62	514.000
85	542.598	364.33	508.000
86	542.678	367.03	536.000
87	542.758	369.74	529.000
88	542.837	372.44	514.000
89	542.917	375.14	514.000
90	542.997	377.85	503.000
91	543.076	380.55	533.000
92	543.156	383.25	534.000
93	543.236	385.95	522.000
94	543.315	388.64	514.000
95	543.395	391.34	513.000
96	543.475	394.04	544.000
97	543.554	396.74	543.000
98	543.634	399.43	534.000
99	543.713	402.13	529.000
100	543.793	404.82	563.000
101	543.873	407.51	568.000
102	543.952	410.21	587.000
103	544.032	412.90	569.000
104	544.112	415.59	561.000
105	544.191	418.28	568.000
106	544.271	420.97	560.000
107	544.351	423.66	571.000
108	544.430	426.34	585.000
109	544.510	429.03	579.000
110	544.590	431.72	579.000
111	544.669	434.40	565.000
112	544.749	437.09	568.000
113	544.829	439.77	591.000
114	544.908	442.46	588.000
115	544.988	445.14	540.000
116	545.068	447.82	553.000
117	545.147	450.50	544.000
118	545.227	453.18	551.000
119	545.307	455.86	560.000
120	545.386	458.54	552.000
121	545.466	461.22	543.000
122	545.546	463.90	522.000
123	545.625	466.57	517.000
124	545.705	469.25	546.000
125	545.785	471.92	558.000
126	545.864	474.60	556.000
127	545.944	477.27	532.000
128	546.024	479.94	535.000
129	546.103	482.62	542.000
130	546.183	485.29	574.000
131	546.263	487.96	560.000
132	546.342	490.63	527.000
133	546.422	493.30	550.000
134	546.502	495.97	539.000
135	546.582	498.63	551.000
136	546.661	501.30	559.000
137	546.741	503.97	516.000
138	546.821	506.63	530.000
139	546.900	509.30	539.000
140	546.980	511.96	550.000
141	547.060	514.62	557.000
142	547.139	517.29	556.000
143	547.219	519.95	542.000
144	547.299	522.61	563.000
145	547.378	525.27	567.000
146	547.458	527.93	585.000
147	547.538	530.59	589.000
148	547.617	533.24	578.000
149	547.697	535.90	533.000
150	547.777	538.56	531.000
151	547.857	541.21	530.000
152	547.936	543.87	561.000
153	548.016	546.52	545.000
154	548.096	549.18	538.000
155	548.175	551.83	540.000
156	548.255	554.48	553.000
157	548.335	557.13	547.000
158	548.414	559.78	555.000
159	548.494	562.43	556.000
160	548.574	565.08	567.000
161	548.654	567.73	542.000
162	548.733	570.38	553.000
163	548.813	573.02	537.000
164	548.893	575.67	539.000
165	548.972	578.31	564.000
166	549.052	580.96	558.000
167	549.132	583.60	538.000
168	549.212	586.25	531.000
169	549.291	588.89	524.000
170	549.371	591.53	547.000
171	549.451	594.17	552.000
172	549.530	596.81	521.000
173	549.610	599.45	529.000
174	549.690	602.09	516.000
175	549.770	604.73	516.000
176	549.849	607.36	523.000
177	549.929	610.00	544.000
178	550.009	612.63	494.000
179	550.088	615.27	487.000
180	550.168	617.90	487.000
181	550.248	620.54	482.000
182	550.328	623.17	515.000
183	550.407	625.80	522.000
184	550.487	628.43	499.000
185	550.567	631.06	507.000
186	550.646	633.69	471.000
187	550.726	636.32	470.000
188	550.806	638.95	454.000
189	550.886	641.58	475.000
190	550.965	644.20	491.000
191	551.045	646.83	489.000
