bGennerate:0
capture_settings:{"isBlankCap":"0","laser":"100%","nInteCount":"1","nInteTime":"1000000","nTimeCycle":"100","nTimeSeq":"5","objGlass":"10x / 0.3NA","slit":"50μm","spectra_type":"0-2000cm⁻¹"}
Pixel	Wavelength	RamanShift	Value
1	535.912	134.39	290.000
2	535.992	137.16	291.000
3	536.071	139.93	310.000
4	536.151	142.70	327.000
5	536.230	145.47	357.000
6	536.310	148.23	385.000
7	536.390	151.00	367.000
8	536.469	153.76	373.000
9	536.549	156.53	379.000
10	536.628	159.29	395.000
11	536.708	162.05	414.000
12	536.787	164.81	425.000
13	536.867	167.58	417.000
14	536.946	170.34	408.000
15	537.026	173.10	423.000
16	537.106	175.85	410.000
17	537.185	178.61	433.000
18	537.265	181.37	438.000
19	537.344	184.13	440.000
20	537.424	186.88	417.000
21	537.503	189.64	428.000
22	537.583	192.39	437.000
23	537.663	195.14	433.000
24	537.742	197.89	449.000
25	537.822	200.65	448.000
26	537.901	203.40	431.000
27	537.981	206.15	419.000
28	538.061	208.90	416.000
29	538.140	211.65	419.000
30	538.220	214.39	446.000
31	538.299	217.14	457.000
32	538.379	219.89	424.000
33	538.458	222.63	422.000
34	538.538	225.38	417.000
35	538.618	228.12	449.000
36	538.697	230.86	451.000
37	538.777	233.61	442.000
38	538.856	236.35	416.000
39	538.936	239.09	425.000
40	539.016	241.83	418.000
41	539.095	244.57	445.000
42	539.175	247.31	450.000
43	539.254	250.04	430.000
44	539.334	252.78	419.000
45	539.414	255.52	432.000
46	539.493	258.25	435.000
47	539.573	260.99	439.000
48	539.652	263.72	441.000
49	539.732	266.45	440.000
50	539.812	269.18	421.000
51	539.891	271.92	416.000
52	539.971	274.65	430.000
53	540.050	277.38	426.000
54	540.130	280.11	452.000
55	540.210	282.83	438.000
56	540.289	285.56	427.000
57	540.369	288.29	415.000
58	540.448	291.02	416.000
59	540.528	293.74	428.000
60	540.608	296.46	459.000
61	540.687	299.19	473.000
62	540.767	301.91	429.000
63	540.847	304.63	429.000
64	540.926	307.36	445.000
65	541.006	310.08	453.000
66	541.085	312.80	456.000
67	541.165	315.52	420.000
68	541.245	318.23	427.000
69	541.324	320.95	432.000
70	541.404	323.67	455.000
71	541.484	326.38	452.000
72	541.563	329.10	453.000
73	541.643	331.81	437.000
74	541.722	334.53	434.000
75	541.802	337.24	431.000
76	541.882	339.95	452.000
77	541.961	342.67	477.000
78	542.041	345.38	437.000
79	542.121	348.09	429.000
80	542.200	350.80	445.000
81	542.280	353.50	467.000
82	542.359	356.21	464.000
83	542.439	358.92	448.000
84	542.519	361.62	471.000
85	542.598	364.33	441.000
86	542.678	367.03	439.000
87	542.758	369.74	448.000
88	542.837	372.44	474.000
89	542.917	375.14	478.000
90	542.997	377.85	447.000
91	543.076	380.55	445.000
92	543.156	383.25	442.000
93	543.236	385.95	482.000
94	543.315	388.64	471.000
95	543.395	391.34	459.000
96	543.475	394.04	447.000
97	543.554	396.74	443.000
98	543.634	399.43	453.000
99	543.713	402.13	468.000
100	543.793	404.82	470.000
101	543.873	407.51	442.000
102	543.952	410.21	457.000
103	544.032	412.90	449.000
104	544.112	415.59	472.000
105	544.191	418.28	476.000
106	544.271	420.97	462.000
107	544.351	423.66	442.000
108	544.430	426.34	453.000
109	544.510	429.03	456.000
110	544.590	431.72	486.000
111	544.669	434.40	469.000
112	544.749	437.09	446.000
113	544.829	439.77	439.000
114	544.908	442.46	443.000
115	544.988	445.14	449.000
116	545.068	447.82	494.000
117	545.147	450.50	474.000
118	545.227	453.18	470.000
119	545.307	455.86	456.000
120	545.386	458.54	452.000
121	545.466	461.22	475.000
122	545.546	463.90	472.000
123	545.625	466.57	476.000
124	545.705	469.25	456.000
125	545.785	471.92	457.000
126	545.864	474.60	474.000
127	545.944	477.27	485.000
128	546.024	479.94	468.000
129	546.103	482.62	460.000
130	546.183	485.29	466.000
131	546.263	487.96	472.000
132	546.342	490.63	475.000
133	546.422	493.30	493.000
134	546.502	495.97	444.000
135	546.582	498.63	460.000
136	546.661	501.30	462.000
137	546.741	503.97	467.000
138	546.821	506.63	477.000
139	546.900	509.30	477.000
140	546.980	511.96	444.000
141	547.060	514.62	460.000
142	547.139	517.29	448.000
143	547.219	519.95	438.000
144	547.299	522.61	471.000
145	547.378	525.27	459.000
146	547.458	527.93	471.000
147	547.538	530.59	455.000
148	547.617	533.24	443.000
149	547.697	535.90	455.000
150	547.777	538.56	466.000
151	547.857	541.21	477.000
152	547.936	543.87	464.000
153	548.016	546.52	464.000
154	548.096	549.18	455.000
155	548.175	551.83	466.000
156	548.255	554.48	487.000
157	548.335	557.13	485.000
158	548.414	559.78	475.000
159	548.494	562.43	467.000
160	548.574	565.08	458.000
161	548.654	567.73	463.000
162	548.733	570.38	495.000
163	548.813	573.02	484.000
164	548.893	575.67	466.000
165	548.972	578.31	458.000
166	549.052	580.96	461.000
167	549.132	583.60	482.000
168	549.212	586.25	480.000
169	549.291	588.89	472.000
170	549.371	591.53	457.000
171	549.451	594.17	442.000
172	549.530	596.81	445.000
173	549.610	599.45	471.000
174	549.690	602.09	472.000
175	549.770	604.73	445.000
176	549.849	607.36	445.000
177	549.929	610.00	430.000
178	550.009	612.63	438.000
179	550.088	615.27	445.000
180	550.168	617.90	435.000
181	550.248	620.54	418.000
182	550.328	623.17	423.000
183	550.407	625.80	415.000
184	550.487	628.43	432.000
185	550.567	631.06	436.000
186	550.646	633.69	424.000
187	550.726	636.32	406.000
188	550.806	638.95	401.000
189	550.886	641.58	394.000
190	550.965	644.20	416.000
191	551.045	646.83	429.000
192	551.125	649.46	388.000
193	551.205	652.08	391.000
194	551.284	654.70	384.000
195	551.364	657.33	394.000
196	551.444	659.95	404.000
197	551.523	662.57	379.000
198	551.603	665.19	370.000
199	551.683	667.81	386.000
200	551.763	670.43	395.000
201	551.842	673.05	387.000
202	551.922	675.67	361.000
203	552.002	678.28	354.000
204	552.082	680.90	377.000
205	552.161	683.52	369.000
206	552.241	686.13	380.000
207	552.321	688.75	343.000
208	552.401	691.36	342.000
209	552.480	693.97	359.000
210	552.560	696.58	370.000
211	552.640	699.20	355.000
212	552.719	701.81	335.000
213	552.799	704.42	339.000
214	552.879	707.02	337.000
215	552.959	709.63	351.000
216	553.038	712.24	353.000
217	553.118	714.85	360.000
218	553.198	717.45	337.000
219	553.278	720.06	328.000
220	553.357	722.66	319.000
221	553.437	725.27	324.000
222	553.517	727.87	334.000
223	553.597	730.47	345.000
224	553.676	733.08	338.000
225	553.756	735.68	356.000
226	553.836	738.28	348.000
227	553.916	740.88	319.000
228	553.995	743.48	326.000
229	554.075	746.07	330.000
230	554.155	748.67	349.000
231	554.235	751.27	354.000
232	554.314	753.86	354.000
233	554.394	756.46	333.000
234	554.474	759.05	336.000
235	554.554	761.65	332.000
236	554.633	764.24	314.000
237	554.713	766.83	353.000
238	554.793	769.42	362.000
239	554.873	772.02	349.000
