bGennerate:0
capture_settings:{"isBlankCap":"0","laser":"100%","nInteCount":"1","nInteTime":"1000000","nTimeCycle":"100","nTimeSeq":"5","objGlass":"10x / 0.3NA","slit":"50μm","spectra_type":"0-2000cm⁻¹"}
Pixel	Wavelength	RamanShift	Value
1	535.912	134.39	277.000
2	535.992	137.16	285.000
3	536.071	139.93	312.000
4	536.151	142.70	343.000
5	536.230	145.47	363.000
6	536.310	148.23	379.000
7	536.390	151.00	365.000
8	536.469	153.76	375.000
9	536.549	156.53	389.000
10	536.628	159.29	420.000
11	536.708	162.05	414.000
12	536.787	164.81	405.000
13	536.867	167.58	404.000
14	536.946	170.34	430.000
15	537.026	173.10	441.000
16	537.106	175.85	440.000
17	537.185	178.61	421.000
18	537.265	181.37	417.000
19	537.344	184.13	437.000
20	537.424	186.88	447.000
21	537.503	189.64	454.000
22	537.583	192.39	435.000
23	537.663	195.14	425.000
24	537.742	197.89	431.000
25	537.822	200.65	446.000
26	537.901	203.40	438.000
27	537.981	206.15	442.000
28	538.061	208.90	420.000
29	538.140	211.65	431.000
30	538.220	214.39	444.000
31	538.299	217.14	469.000
32	538.379	219.89	446.000
33	538.458	222.63	422.000
34	538.538	225.38	427.000
35	538.618	228.12	421.000
36	538.697	230.86	464.000
37	538.777	233.61	450.000
38	538.856	236.35	445.000
39	538.936	239.09	437.000
40	539.016	241.83	425.000
41	539.095	244.57	431.000
42	539.175	247.31	459.000
43	539.254	250.04	449.000
44	539.334	252.78	436.000
45	539.414	255.52	431.000
46	539.493	258.25	424.000
47	539.573	260.99	424.000
48	539.652	263.72	447.000
49	539.732	266.45	450.000
50	539.812	269.18	421.000
51	539.891	271.92	419.000
52	539.971	274.65	432.000
53	540.050	277.38	440.000
54	540.130	280.11	457.000
55	540.210	282.83	430.000
56	540.289	285.56	439.000
57	540.369	288.29	426.000
58	540.448	291.02	437.000
59	540.528	293.74	450.000
60	540.608	296.46	452.000
61	540.687	299.19	457.000
62	540.767	301.91	426.000
63	540.847	304.63	429.000
64	540.926	307.36	442.000
65	541.006	310.08	466.000
66	541.085	312.80	447.000
67	541.165	315.52	441.000
68	541.245	318.23	437.000
69	541.324	320.95	456.000
70	541.404	323.67	469.000
71	541.484	326.38	448.000
72	541.563	329.10	441.000
73	541.643	331.81	432.000
74	541.722	334.53	465.000
75	541.802	337.24	460.000
76	541.882	339.95	471.000
77	541.961	342.67	466.000
78	542.041	345.38	448.000
79	542.121	348.09	446.000
80	542.200	350.80	458.000
81	542.280	353.50	468.000
82	542.359	356.21	479.000
83	542.439	358.92	454.000
84	542.519	361.62	457.000
85	542.598	364.33	440.000
86	542.678	367.03	458.000
87	542.758	369.74	451.000
88	542.837	372.44	449.000
89	542.917	375.14	479.000
90	542.997	377.85	475.000
91	543.076	380.55	472.000
92	543.156	383.25	459.000
93	543.236	385.95	459.000
94	543.315	388.64	461.000
95	543.395	391.34	467.000
96	543.475	394.04	485.000
97	543.554	396.74	485.000
98	543.634	399.43	474.000
99	543.713	402.13	454.000
100	543.793	404.82	449.000
101	543.873	407.51	454.000
102	543.952	410.21	486.000
103	544.032	412.90	502.000
104	544.112	415.59	486.000
105	544.191	418.28	464.000
106	544.271	420.97	460.000
107	544.351	423.66	447.000
108	544.430	426.34	481.000
109	544.510	429.03	482.000
110	544.590	431.72	464.000
111	544.669	434.40	449.000
112	544.749	437.09	444.000
113	544.829	439.77	479.000
114	544.908	442.46	482.000
115	544.988	445.14	487.000
116	545.068	447.82	492.000
117	545.147	450.50	456.000
118	545.227	453.18	454.000
119	545.307	455.86	489.000
120	545.386	458.54	482.000
121	545.466	461.22	492.000
122	545.546	463.90	469.000
123	545.625	466.57	470.000
124	545.705	469.25	460.000
125	545.785	471.92	477.000
126	545.864	474.60	484.000
127	545.944	477.27	480.000
128	546.024	479.94	486.000
129	546.103	482.62	474.000
130	546.183	485.29	474.000
131	546.263	487.96	474.000
132	546.342	490.63	471.000
133	546.422	493.30	493.000
134	546.502	495.97	483.000
135	546.582	498.63	484.000
136	546.661	501.30	478.000
137	546.741	503.97	460.000
138	546.821	506.63	466.000
139	546.900	509.30	463.000
140	546.980	511.96	469.000
141	547.060	514.62	489.000
142	547.139	517.29	464.000
143	547.219	519.95	443.000
144	547.299	522.61	468.000
145	547.378	525.27	482.000
146	547.458	527.93	492.000
147	547.538	530.59	459.000
148	547.617	533.24	457.000
149	547.697	535.90	463.000
150	547.777	538.56	457.000
151	547.857	541.21	478.000
152	547.936	543.87	494.000
153	548.016	546.52	477.000
154	548.096	549.18	484.000
155	548.175	551.83	464.000
156	548.255	554.48	462.000
157	548.335	557.13	463.000
158	548.414	559.78	475.000
159	548.494	562.43	496.000
160	548.574	565.08	496.000
161	548.654	567.73	481.000
162	548.733	570.38	490.000
163	548.813	573.02	472.000
164	548.893	575.67	462.000
165	548.972	578.31	472.000
166	549.052	580.96	483.000
167	549.132	583.60	482.000
168	549.212	586.25	498.000
169	549.291	588.89	483.000
170	549.371	591.53	456.000
171	549.451	594.17	446.000
172	549.530	596.81	449.000
173	549.610	599.45	459.000
174	549.690	602.09	483.000
175	549.770	604.73	470.000
176	549.849	607.36	470.000
177	549.929	610.00	443.000
178	550.009	612.63	430.000
179	550.088	615.27	433.000
180	550.168	617.90	445.000
181	550.248	620.54	452.000
182	550.328	623.17	427.000
183	550.407	625.80	418.000
184	550.487	628.43	415.000
185	550.567	631.06	431.000
186	550.646	633.69	446.000
187	550.726	636.32	421.000
188	550.806	638.95	411.000
189	550.886	641.58	399.000
190	550.965	644.20	401.000
191	551.045	646.83	407.000
192	551.125	649.46	419.000
193	551.205	652.08	431.000
194	551.284	654.70	390.000
195	551.364	657.33	385.000
196	551.444	659.95	385.000
197	551.523	662.57	408.000
198	551.603	665.19	397.000
199	551.683	667.81	398.000
200	551.763	670.43	369.000
201	551.842	673.05	367.000
202	551.922	675.67	373.000
203	552.002	678.28	380.000
204	552.082	680.90	390.000
205	552.161	683.52	381.000
206	552.241	686.13	364.000
207	552.321	688.75	356.000
208	552.401	691.36	356.000
209	552.480	693.97	371.000
210	552.560	696.58	372.000
211	552.640	699.20	365.000
212	552.719	701.81	341.000
213	552.799	704.42	335.000
214	552.879	707.02	338.000
215	552.959	709.63	352.000
216	553.038	712.24	352.000
217	553.118	714.85	355.000
