bGennerate:0
capture_settings:{"isBlankCap":"0","laser":"100%","nInteCount":"1","nInteTime":"1000000","nTimeCycle":"100","nTimeSeq":"5","objGlass":"10x / 0.3NA","slit":"50μm","spectra_type":"0-2000cm⁻¹"}
Pixel	Wavelength	RamanShift	Value
1	535.912	134.39	4458.000
2	535.992	137.16	5656.000
3	536.071	139.93	6903.000
4	536.151	142.70	8274.000
5	536.230	145.47	9516.000
6	536.310	148.23	10678.000
7	536.390	151.00	11690.000
8	536.469	153.76	12406.000
9	536.549	156.53	12975.000
10	536.628	159.29	13231.000
11	536.708	162.05	13376.000
12	536.787	164.81	13461.000
13	536.867	167.58	13399.000
14	536.946	170.34	13150.000
15	537.026	173.10	13066.000
16	537.106	175.85	12932.000
17	537.185	178.61	12804.000
18	537.265	181.37	12790.000
19	537.344	184.13	12888.000
20	537.424	186.88	13087.000
21	537.503	189.64	13333.000
22	537.583	192.39	13728.000
23	537.663	195.14	14128.000
24	537.742	197.89	14674.000
25	537.822	200.65	15241.000
26	537.901	203.40	15970.000
27	537.981	206.15	16876.000
28	538.061	208.90	18000.000
29	538.140	211.65	19356.000
30	538.220	214.39	20906.000
31	538.299	217.14	22679.000
32	538.379	219.89	24830.000
33	538.458	222.63	26789.000
34	538.538	225.38	28527.000
35	538.618	228.12	29646.000
36	538.697	230.86	30191.000
37	538.777	233.61	29920.000
38	538.856	236.35	28917.000
39	538.936	239.09	27553.000
40	539.016	241.83	25960.000
41	539.095	244.57	24240.000
42	539.175	247.31	22364.000
43	539.254	250.04	20881.000
44	539.334	252.78	19448.000
45	539.414	255.52	18280.000
46	539.493	258.25	17162.000
47	539.573	260.99	16182.000
48	539.652	263.72	15462.000
49	539.732	266.45	14807.000
50	539.812	269.18	14178.000
51	539.891	271.92	13562.000
52	539.971	274.65	12910.000
53	540.050	277.38	12349.000
54	540.130	280.11	11747.000
55	540.210	282.83	11215.000
56	540.289	285.56	10877.000
57	540.369	288.29	10489.000
58	540.448	291.02	10280.000
59	540.528	293.74	10046.000
60	540.608	296.46	9994.000
61	540.687	299.19	9888.000
62	540.767	301.91	9860.000
63	540.847	304.63	9864.000
64	540.926	307.36	9880.000
65	541.006	310.08	9942.000
66	541.085	312.80	10000.000
67	541.165	315.52	10066.000
68	541.245	318.23	10161.000
69	541.324	320.95	10282.000
70	541.404	323.67	10358.000
71	541.484	326.38	10339.000
72	541.563	329.10	10338.000
73	541.643	331.81	10331.000
74	541.722	334.53	10237.000
75	541.802	337.24	10097.000
76	541.882	339.95	9912.000
77	541.961	342.67	9754.000
78	542.041	345.38	9621.000
79	542.121	348.09	9540.000
80	542.200	350.80	9555.000
81	542.280	353.50	9632.000
82	542.359	356.21	9727.000
83	542.439	358.92	9693.000
84	542.519	361.62	9591.000
85	542.598	364.33	9492.000
86	542.678	367.03	9372.000
87	542.758	369.74	9173.000
88	542.837	372.44	8917.000
89	542.917	375.14	8804.000
90	542.997	377.85	8671.000
91	543.076	380.55	8659.000
92	543.156	383.25	8672.000
93	543.236	385.95	8825.000
94	543.315	388.64	9004.000
95	543.395	391.34	9388.000
96	543.475	394.04	10107.000
97	543.554	396.74	11281.000
98	543.634	399.43	13308.000
99	543.713	402.13	16243.000
100	543.793	404.82	19641.000
101	543.873	407.51	23362.000
102	543.952	410.21	26802.000
103	544.032	412.90	29593.000
104	544.112	415.59	31155.000
105	544.191	418.28	31778.000
106	544.271	420.97	31308.000
107	544.351	423.66	30035.000
108	544.430	426.34	28819.000
109	544.510	429.03	28245.000
110	544.590	431.72	29104.000
111	544.669	434.40	30918.000
112	544.749	437.09	32041.000
113	544.829	439.77	31587.000
114	544.908	442.46	29221.000
115	544.988	445.14	25555.000
116	545.068	447.82	22029.000
117	545.147	450.50	19054.000
118	545.227	453.18	17010.000
119	545.307	455.86	15782.000
120	545.386	458.54	15165.000
121	545.466	461.22	14795.000
122	545.546	463.90	14414.000
123	545.625	466.57	14027.000
124	545.705	469.25	13499.000
125	545.785	471.92	13132.000
126	545.864	474.60	12685.000
127	545.944	477.27	12410.000
128	546.024	479.94	12099.000
129	546.103	482.62	12044.000
130	546.183	485.29	11967.000
131	546.263	487.96	11755.000
132	546.342	490.63	11379.000
133	546.422	493.30	10985.000
134	546.502	495.97	10588.000
135	546.582	498.63	10443.000
136	546.661	501.30	10574.000
137	546.741	503.97	10984.000
138	546.821	506.63	11572.000
139	546.900	509.30	12107.000
140	546.980	511.96	12788.000
141	547.060	514.62	13511.000
142	547.139	517.29	14811.000
143	547.219	519.95	16921.000
144	547.299	522.61	19638.000
145	547.378	525.27	22103.000
146	547.458	527.93	23351.000
147	547.538	530.59	22759.000
148	547.617	533.24	20616.000
149	547.697	535.90	17680.000
150	547.777	538.56	14723.000
151	547.857	541.21	12358.000
152	547.936	543.87	10674.000
153	548.016	546.52	9568.000
154	548.096	549.18	9084.000
155	548.175	551.83	8917.000
156	548.255	554.48	9166.000
157	548.335	557.13	9551.000
158	548.414	559.78	9967.000
159	548.494	562.43	9961.000
160	548.574	565.08	9922.000
161	548.654	567.73	9734.000
162	548.733	570.38	9634.000
163	548.813	573.02	9692.000
164	548.893	575.67	9690.000
165	548.972	578.31	9615.000
166	549.052	580.96	9187.000
167	549.132	583.60	8765.000
168	549.212	586.25	8419.000
169	549.291	588.89	8145.000
170	549.371	591.53	7924.000
171	549.451	594.17	7645.000
172	549.530	596.81	7238.000
173	549.610	599.45	7046.000
174	549.690	602.09	6705.000
175	549.770	604.73	6466.000
176	549.849	607.36	6418.000
177	549.929	610.00	6519.000
178	550.009	612.63	6586.000
179	550.088	615.27	6768.000
