bGennerate:0
capture_settings:{"isBlankCap":"0","laser":"100%","nInteCount":"1","nInteTime":"1000000","nTimeCycle":"100","nTimeSeq":"5","objGlass":"10x / 0.3NA","slit":"50μm","spectra_type":"0-2000cm⁻¹"}
Pixel	Wavelength	RamanShift	Value
1	535.912	134.39	301.000
2	535.992	137.16	333.000
3	536.071	139.93	355.000
4	536.151	142.70	375.000
5	536.230	145.47	395.000
6	536.310	148.23	426.000
7	536.390	151.00	500.000
8	536.469	153.76	509.000
9	536.549	156.53	501.000
10	536.628	159.29	525.000
11	536.708	162.05	544.000
12	536.787	164.81	569.000
13	536.867	167.58	573.000
14	536.946	170.34	564.000
15	537.026	173.10	562.000
16	537.106	175.85	574.000
17	537.185	178.61	601.000
18	537.265	181.37	601.000
19	537.344	184.13	605.000
20	537.424	186.88	592.000
21	537.503	189.64	614.000
22	537.583	192.39	632.000
23	537.663	195.14	643.000
24	537.742	197.89	642.000
25	537.822	200.65	640.000
26	537.901	203.40	626.000
27	537.981	206.15	626.000
28	538.061	208.90	636.000
29	538.140	211.65	661.000
30	538.220	214.39	681.000
31	538.299	217.14	680.000
32	538.379	219.89	659.000
33	538.458	222.63	672.000
34	538.538	225.38	688.000
35	538.618	228.12	715.000
36	538.697	230.86	714.000
37	538.777	233.61	721.000
38	538.856	236.35	699.000
39	538.936	239.09	690.000
40	539.016	241.83	681.000
41	539.095	244.57	664.000
42	539.175	247.31	682.000
43	539.254	250.04	664.000
44	539.334	252.78	646.000
45	539.414	255.52	617.000
46	539.493	258.25	606.000
47	539.573	260.99	616.000
48	539.652	263.72	621.000
49	539.732	266.45	587.000
50	539.812	269.18	562.000
51	539.891	271.92	575.000
52	539.971	274.65	591.000
53	540.050	277.38	588.000
54	540.130	280.11	565.000
55	540.210	282.83	539.000
56	540.289	285.56	536.000
57	540.369	288.29	558.000
58	540.448	291.02	553.000
59	540.528	293.74	564.000
60	540.608	296.46	544.000
61	540.687	299.19	545.000
62	540.767	301.91	522.000
63	540.847	304.63	551.000
64	540.926	307.36	558.000
65	541.006	310.08	559.000
66	541.085	312.80	531.000
67	541.165	315.52	532.000
68	541.245	318.23	538.000
69	541.324	320.95	548.000
70	541.404	323.67	564.000
71	541.484	326.38	553.000
72	541.563	329.10	533.000
73	541.643	331.81	529.000
74	541.722	334.53	535.000
75	541.802	337.24	552.000
76	541.882	339.95	557.000
77	541.961	342.67	564.000
78	542.041	345.38	537.000
79	542.121	348.09	530.000
80	542.200	350.80	544.000
81	542.280	353.50	561.000
82	542.359	356.21	554.000
83	542.439	358.92	542.000
84	542.519	361.62	538.000
85	542.598	364.33	530.000
86	542.678	367.03	548.000
87	542.758	369.74	549.000
88	542.837	372.44	555.000
89	542.917	375.14	551.000
90	542.997	377.85	542.000
91	543.076	380.55	528.000
