bGennerate:0
capture_settings:{"isBlankCap":"0","laser":"100%","nInteCount":"1","nInteTime":"1000000","nTimeCycle":"100","nTimeSeq":"5","objGlass":"10x / 0.3NA","slit":"50μm","spectra_type":"0-2000cm⁻¹"}
Pixel	Wavelength	RamanShift	Value
1	535.912	134.39	290.000
2	535.992	137.16	307.000
3	536.071	139.93	310.000
4	536.151	142.70	332.000
5	536.230	145.47	348.000
6	536.310	148.23	392.000
7	536.390	151.00	442.000
8	536.469	153.76	439.000
9	536.549	156.53	436.000
10	536.628	159.29	454.000
11	536.708	162.05	474.000
12	536.787	164.81	496.000
13	536.867	167.58	492.000
14	536.946	170.34	489.000
15	537.026	173.10	487.000
16	537.106	175.85	511.000
17	537.185	178.61	524.000
18	537.265	181.37	508.000
19	537.344	184.13	500.000
20	537.424	186.88	503.000
21	537.503	189.64	530.000
22	537.583	192.39	529.000
23	537.663	195.14	514.000
24	537.742	197.89	491.000
25	537.822	200.65	505.000
26	537.901	203.40	508.000
27	537.981	206.15	526.000
28	538.061	208.90	510.000
29	538.140	211.65	489.000
30	538.220	214.39	489.000
31	538.299	217.14	491.000
32	538.379	219.89	494.000
33	538.458	222.63	502.000
34	538.538	225.38	501.000
35	538.618	228.12	480.000
36	538.697	230.86	474.000
37	538.777	233.61	469.000
38	538.856	236.35	488.000
39	538.936	239.09	463.000
40	539.016	241.83	456.000
41	539.095	244.57	480.000
42	539.175	247.31	486.000
43	539.254	250.04	472.000
44	539.334	252.78	475.000
45	539.414	255.52	447.000
46	539.493	258.25	431.000
47	539.573	260.99	434.000
48	539.652	263.72	469.000
49	539.732	266.45	455.000
50	539.812	269.18	446.000
51	539.891	271.92	433.000
52	539.971	274.65	431.000
53	540.050	277.38	419.000
54	540.130	280.11	442.000
55	540.210	282.83	438.000
56	540.289	285.56	440.000
57	540.369	288.29	425.000
58	540.448	291.02	415.000
59	540.528	293.74	421.000
60	540.608	296.46	435.000
61	540.687	299.19	460.000
62	540.767	301.91	430.000
63	540.847	304.63	416.000
64	540.926	307.36	421.000
65	541.006	310.08	439.000
66	541.085	312.80	436.000
67	541.165	315.52	433.000
68	541.245	318.23	425.000
69	541.324	320.95	425.000
70	541.404	323.67	417.000
71	541.484	326.38	413.000
72	541.563	329.10	441.000
73	541.643	331.81	450.000
74	541.722	334.53	437.000
75	541.802	337.24	410.000
76	541.882	339.95	414.000
77	541.961	342.67	446.000
78	542.041	345.38	438.000
79	542.121	348.09	436.000
80	542.200	350.80	429.000
81	542.280	353.50	429.000
82	542.359	356.21	436.000
83	542.439	358.92	452.000
84	542.519	361.62	447.000
85	542.598	364.33	417.000
86	542.678	367.03	425.000
87	542.758	369.74	440.000
88	542.837	372.44	438.000
89	542.917	375.14	428.000
90	542.997	377.85	434.000
91	543.076	380.55	444.000
92	543.156	383.25	451.000
93	543.236	385.95	437.000
94	543.315	388.64	422.000
95	543.395	391.34	421.000
96	543.475	394.04	414.000
97	543.554	396.74	437.000
98	543.634	399.43	450.000
99	543.713	402.13	444.000
100	543.793	404.82	447.000
101	543.873	407.51	419.000
102	543.952	410.21	434.000
103	544.032	412.90	432.000
104	544.112	415.59	440.000
105	544.191	418.28	450.000
106	544.271	420.97	442.000
107	544.351	423.66	426.000
108	544.430	426.34	423.000
109	544.510	429.03	431.000
110	544.590	431.72	443.000
111	544.669	434.40	443.000
112	544.749	437.09	413.000
113	544.829	439.77	419.000
114	544.908	442.46	433.000
115	544.988	445.14	438.000
116	545.068	447.82	460.000
117	545.147	450.50	427.000
118	545.227	453.18	428.000
119	545.307	455.86	424.000
120	545.386	458.54	447.000
121	545.466	461.22	445.000
122	545.546	463.90	449.000
123	545.625	466.57	424.000
124	545.705	469.25	423.000
125	545.785	471.92	430.000
126	545.864	474.60	441.000
127	545.944	477.27	449.000
128	546.024	479.94	433.000
129	546.103	482.62	432.000
130	546.183	485.29	431.000
131	546.263	487.96	425.000
132	546.342	490.63	430.000
133	546.422	493.30	449.000
134	546.502	495.97	430.000
135	546.582	498.63	420.000
136	546.661	501.30	420.000
137	546.741	503.97	440.000
