bGennerate:0
capture_settings:{"isBlankCap":"0","laser":"100%","nInteCount":"1","nInteTime":"1000000","nTimeCycle":"100","nTimeSeq":"5","objGlass":"10x / 0.3NA","slit":"50μm","spectra_type":"0-2000cm⁻¹"}
Pixel	Wavelength	RamanShift	Value
1	535.912	134.39	672.000
2	535.992	137.16	776.000
3	536.071	139.93	913.000
4	536.151	142.70	1017.000
5	536.230	145.47	1085.000
6	536.310	148.23	1151.000
7	536.390	151.00	1199.000
8	536.469	153.76	1226.000
9	536.549	156.53	1232.000
10	536.628	159.29	1204.000
11	536.708	162.05	1175.000
12	536.787	164.81	1174.000
13	536.867	167.58	1174.000
14	536.946	170.34	1159.000
15	537.026	173.10	1151.000
16	537.106	175.85	1121.000
17	537.185	178.61	1119.000
18	537.265	181.37	1133.000
19	537.344	184.13	1159.000
20	537.424	186.88	1192.000
21	537.503	189.64	1185.000
22	537.583	192.39	1222.000
23	537.663	195.14	1246.000
24	537.742	197.89	1302.000
25	537.822	200.65	1366.000
26	537.901	203.40	1401.000
27	537.981	206.15	1435.000
28	538.061	208.90	1548.000
29	538.140	211.65	1656.000
30	538.220	214.39	1830.000
31	538.299	217.14	1997.000
32	538.379	219.89	2176.000
33	538.458	222.63	2353.000
34	538.538	225.38	2485.000
35	538.618	228.12	2556.000
36	538.697	230.86	2553.000
37	538.777	233.61	2492.000
38	538.856	236.35	2333.000
39	538.936	239.09	2204.000
40	539.016	241.83	2017.000
41	539.095	244.57	1833.000
42	539.175	247.31	1713.000
43	539.254	250.04	1620.000
44	539.334	252.78	1497.000
45	539.414	255.52	1434.000
46	539.493	258.25	1354.000
47	539.573	260.99	1271.000
48	539.652	263.72	1252.000
49	539.732	266.45	1209.000
50	539.812	269.18	1202.000
51	539.891	271.92	1174.000
52	539.971	274.65	1137.000
53	540.050	277.38	1072.000
54	540.130	280.11	1030.000
55	540.210	282.83	1024.000
56	540.289	285.56	990.000
57	540.369	288.29	965.000
58	540.448	291.02	942.000
