bGennerate:0
capture_settings:{"isBlankCap":"0","laser":"100%","nInteCount":"1","nInteTime":"1000000","nTimeCycle":"100","nTimeSeq":"5","objGlass":"10x / 0.3NA","slit":"50μm","spectra_type":"0-2000cm⁻¹"}
Pixel	Wavelength	RamanShift	Value
1	535.912	134.39	301.000
2	535.992	137.16	309.000
3	536.071	139.93	319.000
4	536.151	142.70	330.000
5	536.230	145.47	342.000
6	536.310	148.23	371.000
7	536.390	151.00	396.000
8	536.469	153.76	407.000
9	536.549	156.53	394.000
10	536.628	159.29	390.000
11	536.708	162.05	399.000
12	536.787	164.81	399.000
13	536.867	167.58	419.000
14	536.946	170.34	425.000
15	537.026	173.10	451.000
16	537.106	175.85	440.000
17	537.185	178.61	422.000
18	537.265	181.37	426.000
19	537.344	184.13	419.000
20	537.424	186.88	429.000
21	537.503	189.64	448.000
22	537.583	192.39	459.000
23	537.663	195.14	430.000
24	537.742	197.89	424.000
25	537.822	200.65	425.000
26	537.901	203.40	429.000
27	537.981	206.15	453.000
28	538.061	208.90	432.000
29	538.140	211.65	417.000
30	538.220	214.39	439.000
31	538.299	217.14	458.000
32	538.379	219.89	449.000
33	538.458	222.63	440.000
34	538.538	225.38	426.000
35	538.618	228.12	427.000
36	538.697	230.86	439.000
37	538.777	233.61	437.000
38	538.856	236.35	457.000
39	538.936	239.09	451.000
40	539.016	241.83	456.000
41	539.095	244.57	426.000
42	539.175	247.31	433.000
43	539.254	250.04	426.000
44	539.334	252.78	423.000
45	539.414	255.52	452.000
46	539.493	258.25	449.000
47	539.573	260.99	426.000
48	539.652	263.72	422.000
49	539.732	266.45	422.000
50	539.812	269.18	441.000
51	539.891	271.92	448.000
52	539.971	274.65	451.000
53	540.050	277.38	433.000
54	540.130	280.11	425.000
55	540.210	282.83	420.000
56	540.289	285.56	410.000
57	540.369	288.29	453.000
58	540.448	291.02	444.000
59	540.528	293.74	426.000
60	540.608	296.46	434.000
61	540.687	299.19	433.000
62	540.767	301.91	444.000
63	540.847	304.63	440.000
64	540.926	307.36	459.000
65	541.006	310.08	433.000
66	541.085	312.80	424.000
67	541.165	315.52	411.000
68	541.245	318.23	434.000
69	541.324	320.95	446.000
70	541.404	323.67	469.000
71	541.484	326.38	449.000
72	541.563	329.10	431.000
73	541.643	331.81	429.000
74	541.722	334.53	452.000
75	541.802	337.24	456.000
76	541.882	339.95	477.000
77	541.961	342.67	450.000
78	542.041	345.38	431.000
79	542.121	348.09	455.000
80	542.200	350.80	464.000
81	542.280	353.50	465.000
82	542.359	356.21	446.000
83	542.439	358.92	423.000
84	542.519	361.62	444.000
85	542.598	364.33	460.000
86	542.678	367.03	472.000
87	542.758	369.74	462.000
88	542.837	372.44	451.000
89	542.917	375.14	446.000
90	542.997	377.85	451.000
91	543.076	380.55	443.000
92	543.156	383.25	476.000
93	543.236	385.95	491.000
94	543.315	388.64	443.000
95	543.395	391.34	448.000
96	543.475	394.04	438.000
97	543.554	396.74	460.000
98	543.634	399.43	479.000
99	543.713	402.13	456.000
100	543.793	404.82	449.000
101	543.873	407.51	449.000
102	543.952	410.21	469.000
103	544.032	412.90	479.000
104	544.112	415.59	482.000
105	544.191	418.28	459.000
106	544.271	420.97	449.000
107	544.351	423.66	472.000
108	544.430	426.34	491.000
109	544.510	429.03	484.000
110	544.590	431.72	458.000
111	544.669	434.40	452.000
112	544.749	437.09	457.000
113	544.829	439.77	472.000
114	544.908	442.46	487.000
115	544.988	445.14	457.000
116	545.068	447.82	469.000
117	545.147	450.50	454.000
118	545.227	453.18	457.000
119	545.307	455.86	478.000
120	545.386	458.54	478.000
121	545.466	461.22	475.000
122	545.546	463.90	473.000
123	545.625	466.57	459.000
124	545.705	469.25	460.000
125	545.785	471.92	473.000
126	545.864	474.60	472.000
127	545.944	477.27	485.000
128	546.024	479.94	482.000
129	546.103	482.62	468.000
130	546.183	485.29	470.000
131	546.263	487.96	452.000
132	546.342	490.63	481.000
133	546.422	493.30	493.000
134	546.502	495.97	477.000
135	546.582	498.63	457.000
136	546.661	501.30	459.000
137	546.741	503.97	447.000
138	546.821	506.63	477.000
139	546.900	509.30	483.000
140	546.980	511.96	459.000
141	547.060	514.62	452.000
142	547.139	517.29	440.000
143	547.219	519.95	466.000
144	547.299	522.61	471.000
145	547.378	525.27	454.000
146	547.458	527.93	466.000
147	547.538	530.59	462.000
148	547.617	533.24	483.000
149	547.697	535.90	481.000
150	547.777	538.56	471.000
151	547.857	541.21	451.000
152	547.936	543.87	475.000
153	548.016	546.52	451.000
154	548.096	549.18	467.000
155	548.175	551.83	481.000
156	548.255	554.48	492.000
157	548.335	557.13	468.000
158	548.414	559.78	467.000
159	548.494	562.43	468.000
160	548.574	565.08	482.000
161	548.654	567.73	469.000
162	548.733	570.38	506.000
163	548.813	573.02	474.000
164	548.893	575.67	456.000
165	548.972	578.31	455.000
166	549.052	580.96	476.000
167	549.132	583.60	486.000
168	549.212	586.25	474.000
169	549.291	588.89	443.000
170	549.371	591.53	475.000
171	549.451	594.17	470.000
172	549.530	596.81	474.000
173	549.610	599.45	443.000
174	549.690	602.09	449.000
175	549.770	604.73	443.000
176	549.849	607.36	452.000
177	549.929	610.00	465.000
178	550.009	612.63	435.000
179	550.088	615.27	415.000
180	550.168	617.90	417.000
181	550.248	620.54	416.000
182	550.328	623.17	441.000
183	550.407	625.80	429.000
184	550.487	628.43	423.000
185	550.567	631.06	404.000
186	550.646	633.69	407.000
187	550.726	636.32	403.000
188	550.806	638.95	422.000
189	550.886	641.58	406.000
190	550.965	644.20	399.000
191	551.045	646.83	398.000
192	551.125	649.46	392.000
193	551.205	652.08	400.000
194	551.284	654.70	403.000
195	551.364	657.33	397.000
196	551.444	659.95	398.000
197	551.523	662.57	372.000
198	551.603	665.19	370.000
199	551.683	667.81	376.000
200	551.763	670.43	377.000
201	551.842	673.05	390.000
202	551.922	675.67	382.000
203	552.002	678.28	374.000
204	552.082	680.90	368.000
205	552.161	683.52	338.000
206	552.241	686.13	356.000
207	552.321	688.75	360.000
208	552.401	691.36	378.000
209	552.480	693.97	363.000
210	552.560	696.58	347.000
211	552.640	699.20	340.000
212	552.719	701.81	354.000
213	552.799	704.42	365.000
214	552.879	707.02	358.000
215	552.959	709.63	336.000
216	553.038	712.24	339.000
217	553.118	714.85	335.000
218	553.198	717.45	352.000
219	553.278	720.06	352.000
220	553.357	722.66	355.000
221	553.437	725.27	334.000
222	553.517	727.87	333.000
223	553.597	730.47	329.000
224	553.676	733.08	327.000
225	553.756	735.68	380.000
226	553.836	738.28	366.000
227	553.916	740.88	323.000
228	553.995	743.48	316.000
229	554.075	746.07	337.000
230	554.155	748.67	365.000
231	554.235	751.27	354.000
232	554.314	753.86	343.000
233	554.394	756.46	338.000
234	554.474	759.05	338.000
235	554.554	761.65	353.000
236	554.633	764.24	345.000
237	554.713	766.83	352.000
238	554.793	769.42	333.000
239	554.873	772.02	336.000
240	554.952	774.61	339.000
241	555.032	777.19	361.000
242	555.112	779.78	360.000
243	555.192	782.37	343.000
244	555.272	784.96	336.000
245	555.351	787.55	349.000
246	555.431	790.13	370.000
247	555.511	792.72	368.000
248	555.591	795.30	341.000
249	555.670	797.88	353.000
250	555.750	800.47	351.000
251	555.830	803.05	349.000
252	555.910	805.63	349.000
253	555.989	808.21	333.000
254	556.069	810.79	330.000
255	556.149	813.37	334.000
256	556.229	815.95	332.000
257	556.308	818.53	355.000
258	556.388	821.10	334.000
259	556.468	823.68	308.000
260	556.548	826.26	316.000
261	556.628	828.83	333.000
262	556.707	831.41	328.000
263	556.787	833.98	329.000
264	556.867	836.55	305.000
265	556.947	839.12	302.000
266	557.026	841.70	306.000
267	557.106	844.27	318.000
268	557.186	846.84	328.000
269	557.266	849.41	327.000
270	557.346	851.97	306.000
271	557.425	854.54	296.000
272	557.505	857.11	296.000
273	557.585	859.68	320.000
274	557.665	862.24	332.000
275	557.744	864.81	297.000
276	557.824	867.37	296.000
277	557.904	869.93	311.000
278	557.984	872.50	319.000
279	558.064	875.06	327.000
280	558.143	877.62	309.000
281	558.223	880.18	314.000
282	558.303	882.74	300.000
283	558.383	885.30	316.000
284	558.462	887.86	330.000
285	558.542	890.42	326.000
286	558.622	892.97	330.000
287	558.702	895.53	325.000
288	558.782	898.08	307.000
289	558.861	900.64	320.000
290	558.941	903.19	312.000
291	559.021	905.75	338.000
292	559.101	908.30	339.000
293	559.180	910.85	338.000
294	559.260	913.40	341.000
295	559.340	915.95	338.000
296	559.420	918.50	329.000
297	559.500	921.05	348.000
298	559.579	923.60	346.000
299	559.659	926.15	355.000
300	559.739	928.70	335.000
301	559.819	931.24	346.000
302	559.899	933.79	337.000
303	559.978	936.33	347.000
304	560.058	938.88	365.000
305	560.138	941.42	374.000
306	560.218	943.96	369.000
307	560.298	946.51	344.000
308	560.377	949.05	351.000
309	560.457	951.59	339.000
310	560.537	954.13	371.000
311	560.617	956.67	365.000
312	560.697	959.21	343.000
313	560.776	961.74	351.000
314	560.856	964.28	343.000
315	560.936	966.82	363.000
316	561.016	969.35	393.000
317	561.096	971.89	366.000
318	561.175	974.42	341.000
319	561.255	976.96	365.000
320	561.335	979.49	376.000
321	561.415	982.02	372.000
322	561.495	984.55	371.000
323	561.574	987.08	381.000
324	561.654	989.61	367.000
325	561.734	992.14	375.000
326	561.814	994.67	394.000
327	561.894	997.20	408.000
328	561.973	999.73	405.000
329	562.053	1002.25	377.000
330	562.133	1004.78	374.000
331	562.213	1007.30	369.000
332	562.293	1009.83	384.000
333	562.372	1012.35	400.000
334	562.452	1014.88	409.000
335	562.532	1017.40	401.000
336	562.612	1019.92	404.000
337	562.692	1022.44	380.000
338	562.771	1024.96	386.000
339	562.851	1027.48	411.000
340	562.931	1030.00	422.000
341	563.011	1032.52	422.000
342	563.091	1035.03	413.000
343	563.170	1037.55	422.000
344	563.250	1040.07	426.000
